contrast,contrast_target,temperature,timepoint,well_id,physical_embryo_id,experiment_id,snip_id,seq_sample_id,target,perturbation_group,is_crispant,s,s_z,s_loo
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_A01,20250612_24hpf_ctrl_atf6_A01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_A01_e00_t0000,GENE7_P01_A1,"Control,cold",Control,0,0.09239852297413556,0.350880902524733,0.6883105209114971
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_A02,20250612_24hpf_ctrl_atf6_A02_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_A02_e00_t0000,GENE7_P01_A2,"Control,cold",Control,0,-0.25754811988390136,-0.7927199134584123,-0.6812249945032058
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_A07,20250612_24hpf_ctrl_atf6_A07_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_A07_e00_t0000,GENE7_P01_A7,"atf6,cold",atf6,1,0.12337294135801925,0.452103105570077,0.07266375442607349
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_B01,20250612_24hpf_ctrl_atf6_B01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_B01_e00_t0000,GENE7_P01_B1,"Control,cold",Control,0,0.20203391847162716,0.709161601340949,0.8775212936069006
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_B02,20250612_24hpf_ctrl_atf6_B02_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_B02_e00_t0000,GENE7_P01_B2,"Control,cold",Control,0,-0.2700478281186437,-0.8335680736809453,-0.8155211489458124
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_B07,20250612_24hpf_ctrl_atf6_B07_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_B07_e00_t0000,GENE7_P01_B7,"atf6,cold",atf6,1,0.5692763374396234,1.9092837872988742,2.19577028616224
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_B08,20250612_24hpf_ctrl_atf6_B08_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_B08_e00_t0000,GENE7_P01_B8,"atf6,cold",atf6,1,0.3905017560706581,1.325061131350916,1.2604086670879882
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_C01,20250612_24hpf_ctrl_atf6_C01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_C01_e00_t0000,GENE7_P01_C1,"Control,cold",Control,0,-0.08365454236092199,-0.2244480319928108,-0.1121623761948272
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_C02,20250612_24hpf_ctrl_atf6_C02_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_C02_e00_t0000,GENE7_P01_C2,"Control,cold",Control,0,-0.26262093269684367,-0.8092975060446169,-0.9298055017792884
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_C07,20250612_24hpf_ctrl_atf6_C07_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_C07_e00_t0000,GENE7_P01_C7,"atf6,cold",atf6,1,-0.015941311151069497,-0.0031659935882973377,-0.2622092085768331
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_C08,20250612_24hpf_ctrl_atf6_C08_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_C08_e00_t0000,GENE7_P01_C8,"atf6,cold",atf6,1,0.6191276397814341,2.0721943086581107,2.2228737775127105
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_D01,20250612_24hpf_ctrl_atf6_D01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_D01_e00_t0000,GENE7_P01_D1,"Control,cold",Control,0,-0.3878420950003574,-1.2185113856781171,-1.4245565919770133
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_D02,20250612_24hpf_ctrl_atf6_D02_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_D02_e00_t0000,GENE7_P01_D2,"Control,cold",Control,0,-0.17098645267805457,-0.5098425226625075,-0.4424038220487444
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_D07,20250612_24hpf_ctrl_atf6_D07_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_D07_e00_t0000,GENE7_P01_D7,"atf6,cold",atf6,1,-0.2668508222881484,-0.8231204853097647,-1.6095490651491644
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_D08,20250612_24hpf_ctrl_atf6_D08_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_D08_e00_t0000,GENE7_P01_D8,"atf6,cold",atf6,1,0.21523198965179358,0.7522919621518823,0.5389743513237367
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_E01,20250612_24hpf_ctrl_atf6_E01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_E01_e00_t0000,GENE7_P01_E1,"Control,cold",Control,0,-0.21408344557793657,-0.6506804396780985,-0.5396588033411182
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_F01,20250612_24hpf_ctrl_atf6_F01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_F01_e00_t0000,GENE7_P01_F1,"Control,cold",Control,0,0.04866777779669456,0.20797192800212172,0.3557178772949504
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_F07,20250612_24hpf_ctrl_atf6_F07_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_F07_e00_t0000,GENE7_P01_F7,"atf6,cold",atf6,1,-0.07349711857167587,-0.191254291259082,-0.6019440752740793
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_G01,20250612_24hpf_ctrl_atf6_G01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_G01_e00_t0000,GENE7_P01_G1,"Control,cold",Control,0,-0.4485528921133727,-1.4169099659599595,-1.0703457821669593
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_G07,20250612_24hpf_ctrl_atf6_G07_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_G07_e00_t0000,GENE7_P01_G7,"atf6,cold",atf6,1,-0.2929009672209621,-0.9082505118713576,-1.6412020202510706
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_H01,20250612_24hpf_ctrl_atf6_H01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_H01_e00_t0000,GENE7_P01_H1,"Control,cold",Control,0,-0.22413441814654406,-0.6835263053706767,-0.6626784204930977
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,20250612_24hpf_ctrl_atf6_H07,20250612_24hpf_ctrl_atf6_H07_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_H07_e00_t0000,GENE7_P01_H7,"atf6,cold",atf6,1,0.3786549777087508,1.2863466996569828,1.2613902673008535
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_A01,20250612_24hpf_ctrl_atf6_A01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_A01_e00_t0000,GENE7_P01_A1,"Control,cold",Control,0,-0.23538494616484523,-0.597934908267667,-0.8615433525153832
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_A02,20250612_24hpf_ctrl_atf6_A02_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_A02_e00_t0000,GENE7_P01_A2,"Control,cold",Control,0,-0.47547203505095015,-1.2438526585023173,-2.202106573011166
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_B01,20250612_24hpf_ctrl_atf6_B01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_B01_e00_t0000,GENE7_P01_B1,"Control,cold",Control,0,-0.07216664188580141,-0.158820916814976,-0.1787384033802598
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_B02,20250612_24hpf_ctrl_atf6_B02_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_B02_e00_t0000,GENE7_P01_B2,"Control,cold",Control,0,-0.34609358631813225,-0.8957796449884812,-1.4795202534882048
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_C01,20250612_24hpf_ctrl_atf6_C01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_C01_e00_t0000,GENE7_P01_C1,"Control,cold",Control,0,-0.33211642476333825,-0.8581762203810812,-1.4574507878553178
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_C02,20250612_24hpf_ctrl_atf6_C02_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_C02_e00_t0000,GENE7_P01_C2,"Control,cold",Control,0,-0.34749302679193467,-0.899544626465076,-1.57617191287775
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_D01,20250612_24hpf_ctrl_atf6_D01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_D01_e00_t0000,GENE7_P01_D1,"Control,cold",Control,0,-0.4553965161029344,-1.1898425320358879,-2.114146898667289
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_D02,20250612_24hpf_ctrl_atf6_D02_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_D02_e00_t0000,GENE7_P01_D2,"Control,cold",Control,0,-0.36570982539690017,-0.948554148909571,-1.609444069389343
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_E01,20250612_24hpf_ctrl_atf6_E01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_E01_e00_t0000,GENE7_P01_E1,"Control,cold",Control,0,-0.23625060845829401,-0.6002638408381006,-0.9386383330241148
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_F01,20250612_24hpf_ctrl_atf6_F01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_F01_e00_t0000,GENE7_P01_F1,"Control,cold",Control,0,-0.21424389714731557,-0.5410581354167905,-0.8663028111370464
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_G01,20250612_24hpf_ctrl_atf6_G01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_G01_e00_t0000,GENE7_P01_G1,"Control,cold",Control,0,-0.10222223433782787,-0.23968091119723128,1.2392327399472614
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_ctrl_atf6_H01,20250612_24hpf_ctrl_atf6_H01_e01,20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_H01_e00_t0000,GENE7_P01_H1,"Control,cold",Control,0,-0.4421691890456574,-1.154256422953165,-1.9807342586184535
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_A07,20250612_24hpf_wfs1_ctcf_A07_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_A07_e00_t0000,GENE7_P02_A7,"ctcf,cold",ctcf,1,0.11459449559908277,0.34363148208402283,0.313083080053859
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_A08,20250612_24hpf_wfs1_ctcf_A08_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_A08_e00_t0000,GENE7_P02_A8,"ctcf,cold",ctcf,1,0.6588168314412883,1.8077787980665279,3.2754187649029145
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_B08,20250612_24hpf_wfs1_ctcf_B08_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_B08_e00_t0000,GENE7_P02_B8,"ctcf,cold",ctcf,1,0.5966582998749276,1.6405507348936694,2.85433703629288
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_C07,20250612_24hpf_wfs1_ctcf_C07_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_C07_e00_t0000,GENE7_P02_C7,"ctcf,cold",ctcf,1,0.1893743282007004,0.5448152336179275,0.604699811519354
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_C08,20250612_24hpf_wfs1_ctcf_C08_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_C08_e00_t0000,GENE7_P02_C8,"ctcf,cold",ctcf,1,0.6966782044631938,1.9096390563443293,3.532647709062466
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_D07,20250612_24hpf_wfs1_ctcf_D07_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_D07_e00_t0000,GENE7_P02_D7,"ctcf,cold",ctcf,1,-0.17296045884525751,-0.42999133164265546,-1.2458988652991043
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_D08,20250612_24hpf_wfs1_ctcf_D08_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_D08_e00_t0000,GENE7_P02_D8,"ctcf,cold",ctcf,1,0.2489996058731725,0.7052279629737727,1.01956856046333
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_E07,20250612_24hpf_wfs1_ctcf_E07_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_E07_e00_t0000,GENE7_P02_E7,"ctcf,cold",ctcf,1,0.3180656050731425,0.891039515889539,0.7704752724640075
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_F07,20250612_24hpf_wfs1_ctcf_F07_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_F07_e00_t0000,GENE7_P02_F7,"ctcf,cold",ctcf,1,0.23446996726965666,0.6661381830024823,0.883215323970407
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,20250612_24hpf_wfs1_ctcf_G07,20250612_24hpf_wfs1_ctcf_G07_e01,20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_G07_e00_t0000,GENE7_P02_G7,"ctcf,cold",ctcf,1,0.42970005291184454,1.1913749971984424,1.6663573183008475
