contrast,target,temperature,timepoint,n_crispant,n_control,shrinkage,separation,hotelling_f,hotelling_p,loo_auc,perm_p_auc,perm_p_separation,log_sd_ratio,perm_p_dispersion,null_auc_p95,boot_angle_median,boot_angle_p95,random_angle_p05,random_angle_median,rank_rho_median,rank_rho_p05,random_rank_rho_median,rank_p_vs_floor,top_retention_median,random_top_retention_median,loo_rank_rho,angle_to_centroid,angle_to_stage,angle_to_cohort_pc1,angle_to_cohort_pc2,q_auc,q_separation,q_dispersion,usable,q_rank,rank_stable,usable_ordinal,stage_confounded
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,10,12,0.4175786099930143,1.3096336089672391,1.6421660512982599,0.20572458036762717,0.675,0.13986013986013987,0.13386613386613386,0.5136429130776621,0.0969030969030969,0.75,28.48873466870672,56.05096406259571,35.99857110300673,69.45010570102967,0.8898927159796726,0.39774138904573697,0.4624505928853756,0.045,0.875,0.625,0.9661208356860531,16.763999090175602,39.82063723084803,53.384918728178704,60.65900582557184,0.22886204704386523,0.20079920079920077,0.1978021978021978,False,0.08099999999999999,True,False,False
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,11,12,0.5346024542218262,2.574284926016069,7.945305839105201,0.0005105444261494146,0.9166666666666666,0.000999000999000999,0.000999000999000999,0.7327303269976243,0.01898101898101898,0.7352272727272724,15.331849556586285,31.717338989372777,35.99857110300673,69.45010570102967,0.9654150197628459,0.8563241106719368,0.40810276679841895,0.0,0.9375,0.5,0.9624505928853755,7.456400658709441,30.3880269889962,69.94510763673651,54.4275133662713,0.007192807192807194,0.004495504495504496,0.16783216783216784,True,0.0,True,True,True
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","wfs1a,wfs1b",24.0,24.0,12,12,0.38385340315528826,1.4716433218495908,2.4384262074426797,0.07441594954804359,0.7638888888888888,0.025974025974025976,0.03896103896103896,-0.11162720061500163,0.6023976023976024,0.7225694444444442,22.64432666796239,43.782957689617646,35.99857110300673,69.45010570102967,0.9226086956521738,0.6228260869565218,0.44565217391304346,0.0325,0.875,0.625,0.9591304347826086,15.799526239542159,75.74231450628412,71.33269893373551,78.59536294890616,0.05844155844155845,0.0825057295645531,0.7192807192807193,True,0.07411764705882354,True,True,False
atf6 vs ctrl | 24C | 30hpf,atf6,24.0,30.0,11,12,0.16993490189673952,1.0492019639789174,1.3752464034387655,0.2823352653019453,0.5757575757575758,0.3106893106893107,0.26873126873126874,0.3206833666767604,0.17282717282717283,0.75,29.49599508858867,61.01281124776832,35.99857110300673,69.45010570102967,0.8023715415019764,0.35652173913043483,0.4945652173913043,0.1525,0.75,0.625,0.8725296442687748,36.16031392513976,62.97725715133796,76.72763171496784,59.93792512309048,0.4222444222444222,0.3557870700727844,0.2828081009899192,False,0.1986206896551724,False,False,False
ctcf vs ctrl | 24C | 30hpf,ctcf,24.0,30.0,12,12,0.32131360775779544,1.6128142565216157,2.6868154329342593,0.05532352981479415,0.7847222222222222,0.022977022977022976,0.02197802197802198,-0.15150317733046625,0.6593406593406593,0.7295138888888886,20.523395348680417,41.9767849956256,35.99857110300673,69.45010570102967,0.9356521739130433,0.6252173913043478,0.427391304347826,0.03,1.0,0.5,0.9504347826086955,5.334271687215038,81.37957050027873,87.3143001672061,58.79932379266177,0.05514485514485514,0.049450549450549455,0.7192807192807193,True,0.07411764705882354,True,True,False
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","wfs1a,wfs1b",24.0,30.0,12,12,0.2211323773877552,1.4048763058353217,2.36091777975454,0.08173390687683028,0.7152777777777778,0.07692307692307693,0.060939060939060936,0.039196158028722915,0.4885114885114885,0.7291666666666666,23.71265914418842,49.64684273136782,35.99857110300673,69.45010570102967,0.9021739130434783,0.5581304347826086,0.4539130434782608,0.075,0.75,0.5,0.9278260869565217,28.897598291926297,76.1729994317904,83.36861082844268,71.72228323718272,0.13846153846153847,0.10446696160981875,0.6064280547039167,False,0.12272727272727271,False,False,False
atf6 vs ctrl | 24C | 36hpf,atf6,24.0,36.0,12,12,0.5565286148087898,1.1166505159636393,0.8897798854420247,0.5083314613073782,0.6458333333333334,0.15484515484515485,0.10589410589410589,1.073758062861613,0.08491508491508491,0.7291666666666666,34.73630205258435,73.69302833317919,35.99857110300673,69.45010570102967,0.9326086956521737,0.20939130434782607,0.4660869565217391,0.035,0.875,0.5,0.9817391304347826,22.354457336144826,35.80695544149181,43.16381605862333,48.27103934487241,0.24236632932285107,0.17328126419035508,0.1978021978021978,False,0.07411764705882354,True,False,False
ctcf vs ctrl | 24C | 36hpf,ctcf,24.0,36.0,12,12,0.1958755832528613,1.8905124873373989,3.317434564964186,0.02685306816221714,0.7986111111111112,0.013986013986013986,0.003996003996003996,0.7946365008687624,0.025974025974025976,0.7152777777777778,28.68307323326817,52.198684536885594,35.99857110300673,69.45010570102967,0.9486956521739129,0.8060434782608694,0.5726086956521739,0.0375,0.875,0.625,0.9513043478260867,43.85966458499305,57.859324235112126,55.067639873083394,77.40794465863578,0.03596403596403597,0.01198801198801199,0.16783216783216784,True,0.075,True,True,False
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","wfs1a,wfs1b",24.0,36.0,12,12,0.27892902456423807,2.695163076234823,5.909968125133475,0.002110089477099903,0.9027777777777778,0.000999000999000999,0.000999000999000999,0.4070468723755945,0.1918081918081918,0.7430555555555556,21.54946159327139,45.27470184286295,35.99857110300673,69.45010570102967,0.9895652173913043,0.9321739130434782,0.5608695652173912,0.0025,0.875,0.625,0.9869565217391304,15.325499218129725,57.128583496710604,89.19491528207054,21.333579077305103,0.007192807192807194,0.004495504495504496,0.30022151761282195,True,0.03,True,True,False
atf6 vs ctrl | 28C | 24hpf,atf6,28.0,24.0,11,11,0.2543645780472906,0.41441662338656066,0.17946069523663988,0.9663600347502256,0.18181818181818182,0.951048951048951,0.926073926073926,0.6710563175767013,0.0959040959040959,0.7276859504132228,58.742602030305896,87.30601974959805,35.99857110300673,69.45010570102967,0.3579898362507059,-0.4088650479954828,0.4347826086956522,0.5675,0.5,0.625,0.5900621118012424,38.4982970588599,66.03021411258169,61.30642816765477,80.58124087616532,0.9782217782217782,0.9260739260739261,0.1978021978021978,False,0.5837142857142857,False,False,False
ctcf vs ctrl | 28C | 24hpf,ctcf,28.0,24.0,11,11,0.29182129292362774,0.6939840983048953,0.3760288599865872,0.8577676971507345,0.4214876033057851,0.6913086913086913,0.7032967032967034,-0.11665040806779514,0.6553446553446554,0.743801652892562,52.16702391664518,85.58610264772763,35.99857110300673,69.45010570102967,0.6730660643704122,-0.18503670242800677,0.3709768492377189,0.1975,0.625,0.5,0.7876905702992661,23.135078051186515,49.20016806925958,61.979052741188376,45.27286566652165,0.7777222777222778,0.7912087912087913,0.7192807192807193,False,0.22935483870967743,False,False,False
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","wfs1a,wfs1b",28.0,24.0,11,11,0.16667748860820714,1.255436436200212,1.6479491186826465,0.20427826968621593,0.6033057851239669,0.23176823176823177,0.15584415584415584,0.5680331319596639,0.0899100899100899,0.7355371900826446,31.24393572934184,57.2725584384557,35.99857110300673,69.45010570102967,0.7820440429136083,0.49175607001693966,0.46301524562394136,0.16,0.75,0.625,0.8012422360248449,43.05751674391036,80.0424199595158,74.15538753864607,40.247787857600336,0.3337462537462537,0.22441558441558443,0.1978021978021978,False,0.1986206896551724,False,False,False
atf6 vs ctrl | 28C | 30hpf,atf6,28.0,30.0,11,12,0.26545206064765897,1.1946505479951697,1.533908092177364,0.23175301494694378,0.5681818181818182,0.34165834165834164,0.11188811188811189,1.0690416403480452,0.03996003996003996,0.7348484848484849,35.022438460019636,59.93859463414142,35.99857110300673,69.45010570102967,0.8171936758893281,0.2233201581027668,0.43478260869565216,0.1275,0.75,0.625,0.7549407114624507,42.37642662400132,84.30369987089405,62.81997064305684,88.56635398735477,0.43776912742429985,0.1751292186074795,0.1798201798201798,False,0.18359999999999999,False,False,False
