,atf6 vs ctrl | 24C | 24hpf,ctcf vs ctrl | 24C | 24hpf,"wfs1a,wfs1b vs ctrl | 24C | 24hpf",atf6 vs ctrl | 24C | 30hpf,ctcf vs ctrl | 24C | 30hpf,"wfs1a,wfs1b vs ctrl | 24C | 30hpf",atf6 vs ctrl | 24C | 36hpf,ctcf vs ctrl | 24C | 36hpf,"wfs1a,wfs1b vs ctrl | 24C | 36hpf",atf6 vs ctrl | 28C | 24hpf,ctcf vs ctrl | 28C | 24hpf,"wfs1a,wfs1b vs ctrl | 28C | 24hpf",atf6 vs ctrl | 28C | 30hpf,ctcf vs ctrl | 28C | 30hpf,"wfs1a,wfs1b vs ctrl | 28C | 30hpf",atf6 vs ctrl | 28C | 36hpf,ctcf vs ctrl | 28C | 36hpf,"wfs1a,wfs1b vs ctrl | 28C | 36hpf",atf6 vs ctrl | 34C | 24hpf,ctcf vs ctrl | 34C | 24hpf,"wfs1a,wfs1b vs ctrl | 34C | 24hpf",atf6 vs ctrl | 34C | 30hpf,ctcf vs ctrl | 34C | 30hpf,"wfs1a,wfs1b vs ctrl | 34C | 30hpf",atf6 vs ctrl | 34C | 36hpf,ctcf vs ctrl | 34C | 36hpf,"wfs1a,wfs1b vs ctrl | 34C | 36hpf",atf6 vs ctrl | 35C | 24hpf,ctcf vs ctrl | 35C | 24hpf,"wfs1a,wfs1b vs ctrl | 35C | 24hpf",atf6 vs ctrl | 35C | 30hpf,ctcf vs ctrl | 35C | 30hpf,"wfs1a,wfs1b vs ctrl | 35C | 30hpf",atf6 vs ctrl | 35C | 36hpf,ctcf vs ctrl | 35C | 36hpf,"wfs1a,wfs1b vs ctrl | 35C | 36hpf"
atf6 vs ctrl | 24C | 24hpf,1.0,0.8564037233143047,0.48588791386930213,0.623357220069201,0.4305169305762122,0.3470211579398595,0.666888924694885,0.5101270689864636,0.6552969492667621,0.21499668934359079,0.5551267033811598,0.1739708351287142,0.3425318386553761,0.5986226757740571,0.11460443265250643,0.10217660567294314,0.03758878924666525,0.4043266857544518,0.5231430574154483,0.5650227360930014,0.4477641504132482,0.17049440767799104,0.4699143027853283,0.30071859615879176,0.7890857579558755,0.30697476277116187,0.5461926678611052,0.13211285980275586,0.6702704924526316,0.3730186502850172,0.6248327932232797,0.4667050961465561,0.5214121119231241,0.46246561975434247,0.8526757937344098,0.4941208961126588
ctcf vs ctrl | 24C | 24hpf,0.8564037233143047,1.0,0.6197780101617533,0.5903591401569118,0.30255412794960285,0.488811070828754,0.5018360817038952,0.29932750499975713,0.3199394238995161,0.011018432225486227,0.541002722305047,0.21558314972716866,0.4188831301059742,0.7004142954689041,0.10204356787874988,0.3875366740605325,0.20280168569872817,0.495828888335348,0.4511684044229929,0.5089511866508146,0.3753312563545768,0.35826508894787373,0.3504982654179102,0.5368136967013232,0.6900968159359919,0.39783160789827815,0.611341784209855,0.1469788740575289,0.44978270015604427,0.09008619688219577,0.676649991613549,0.3217565242382219,0.32884458994144794,0.513143328834647,0.5076011920465539,0.0722654757971937
"wfs1a,wfs1b vs ctrl | 24C | 24hpf",0.48588791386930213,0.6197780101617533,1.0,0.8330013444127148,0.694093292273712,0.9142657657968738,0.012792895595624635,0.2087613532541359,0.061373449988927714,0.6325268488605613,0.31457260010414073,0.09306953578926945,0.18148906126364167,0.5644507918110139,0.2564535054309938,0.1082020242517436,0.0871778371064756,0.1544143335252121,0.2932061763802534,0.43987105980283975,0.08930034467284834,0.3675941812868702,0.10805440479489879,0.39918821905343504,0.33182674234347925,0.3782381641843806,0.3703458802939078,0.20845400893102106,0.11822108384556253,0.1642848836172348,0.03471887354827034,0.4201191877722457,0.3780333789191819,0.24795162643128257,0.055488831085849954,0.3940997144599732
atf6 vs ctrl | 24C | 30hpf,0.623357220069201,0.5903591401569118,0.8330013444127148,1.0,0.8374633130215198,0.8726005674775396,0.46304355860976887,0.7052242185620201,0.5522517304042481,0.7386125590735851,0.2659903117011813,0.25117319830419427,0.47415159718491956,0.8291856211423184,0.6314772948030998,0.1890074171364613,0.4246271476965921,0.06848080682161752,0.2977454920052102,0.8362231666284273,0.460211775016414,0.14128832175783598,0.03761080088864006,0.24716639162015214,0.1819281321992402,0.3214369136494616,0.3771055992669306,0.058451422073496476,0.26066694269867463,0.5086873357129135,0.2675427339402992,0.022911864864925715,0.06820964770674322,0.18288851539427284,0.305819904850395,0.01675331295643708
ctcf vs ctrl | 24C | 30hpf,0.4305169305762122,0.30255412794960285,0.694093292273712,0.8374633130215198,1.0,0.8456847199685981,0.302298438625025,0.6612375228827563,0.37457065327183287,0.8482580977893264,0.21653856373939503,0.6780852517531433,0.5525172800696374,0.6160634622940575,0.4702484684073026,0.49683269355333376,0.19192793830637722,0.1472639459955596,0.5150276126222092,0.5680799887681399,0.0023486765357017747,0.2616322161140648,0.2653550862293024,0.4325081692163907,0.18010551215378756,0.6258254291007321,0.5672943156770712,0.2636587482698672,0.5047849965827071,0.1983036145481782,0.02653218973802604,0.06632466013119077,0.08390709420269965,0.14956471610120486,0.3087900067069074,0.0652281212180475
"wfs1a,wfs1b vs ctrl | 24C | 30hpf",0.3470211579398595,0.488811070828754,0.9142657657968738,0.8726005674775396,0.8456847199685981,1.0,0.10847334325597302,0.42335573276496097,0.09747143741526158,0.6876893555277243,0.024481817974923773,0.22045571229752092,0.4797724141982198,0.7062079818715394,0.35576741785214205,0.004518016764657273,0.09589513619569624,0.11841917027602447,0.5426192010872579,0.5576760612195932,0.05218292959507928,0.023331522297782008,0.04943404461270786,0.5204347404498563,0.10257323833118744,0.554714096847627,0.4933162948994956,0.05910522448660674,0.17745117432923932,0.08295482775047942,0.0306545530961786,0.30440297741096356,0.3115350456820919,0.22495685501952603,0.02816038835140385,0.4459351177966018
atf6 vs ctrl | 24C | 36hpf,0.666888924694885,0.5018360817038952,0.012792895595624635,0.46304355860976887,0.302298438625025,0.10847334325597302,1.0,0.8600591655973416,0.8682303199125749,0.027112333640582156,0.1717926101066275,0.10684136863963191,0.692483225916819,0.730055256167696,0.37541940762192616,0.19898793259248526,0.27133465339146184,0.04170650503846434,0.33071723664137304,0.7906414720806446,0.6972050848649388,0.5544025833286588,0.06296842452033057,0.12496624035912784,0.20400363097707247,0.17941698793653,0.40229091495245806,0.41102734258549695,0.5268234425449589,0.4582417089236297,0.8772528945401961,0.8608530798958117,0.9075565189504622,0.5108414024680464,0.68858568123105,0.6805878027073229
ctcf vs ctrl | 24C | 36hpf,0.5101270689864636,0.29932750499975713,0.2087613532541359,0.7052242185620201,0.6612375228827563,0.42335573276496097,0.8600591655973416,1.0,0.8554267729632544,0.47727754382391485,0.04774564281023,0.39322839607272075,0.7290624046048718,0.7868465766551547,0.6868180001661264,0.4683828321668677,0.4948555356071802,0.16116073363366681,0.1599316516467874,0.8938261741806798,0.5942787193654094,0.7259038847147392,0.06629289845285018,0.09718586506606908,0.032150944389459736,0.2606982106003663,0.3607486833934117,0.33240357635589934,0.44343134582807425,0.5528957545326156,0.5666016343924412,0.5537074479873536,0.6138785505138744,0.11464805036026238,0.5096365140713349,0.48770359673722996
"wfs1a,wfs1b vs ctrl | 24C | 36hpf",0.6552969492667621,0.3199394238995161,0.061373449988927714,0.5522517304042481,0.37457065327183287,0.09747143741526158,0.8682303199125749,0.8554267729632544,1.0,0.34739153544086426,0.3522484382017489,0.2850234875725668,0.35992686059501455,0.5580241871895432,0.6735935010651809,0.5010988428971889,0.6331920762144051,0.2589831653186043,0.2335355405736775,0.7938381876051807,0.7771812224991362,0.5234994076623419,0.07375198598281878,0.2503583189469551,0.15499843613864664,0.11079029306170579,0.0866909419222111,0.027995460522643872,0.3832002025727463,0.8007999364798993,0.5682551083984705,0.6117407707319534,0.7602797257641993,0.12042975396800376,0.7189563454800946,0.8188665941038539
atf6 vs ctrl | 28C | 24hpf,0.21499668934359079,0.011018432225486227,0.6325268488605613,0.7386125590735851,0.8482580977893264,0.6876893555277243,0.027112333640582156,0.47727754382391485,0.34739153544086426,1.0,0.038952669013846086,0.6624725643401387,0.08653589114833163,0.30062780362512964,0.6946699143462403,0.6463803654101588,0.5349437180956823,0.25783480961213295,0.6127104982944223,0.43468770832584613,0.05794495429589866,0.19255955307723407,0.026785441846886606,0.05245925245467198,0.025669473522322465,0.1754149424469335,0.07130808744552582,0.21671412551962782,0.1407527230491724,0.4729430809102326,0.3588652331749427,0.3939900236929589,0.3061186421178376,0.6008065064599027,0.13446387740569096,0.022747777662043833
ctcf vs ctrl | 28C | 24hpf,0.5551267033811598,0.541002722305047,0.31457260010414073,0.2659903117011813,0.21653856373939503,0.024481817974923773,0.1717926101066275,0.04774564281023,0.3522484382017489,0.038952669013846086,1.0,0.45360172228209605,0.4028186683253676,0.13934360774703086,0.1780161669291101,0.2766959193096372,0.3494036616456948,0.18537376153202445,0.5817558950129036,0.27472153840443747,0.6320754378880102,0.4900335229206014,0.17649211910648283,0.374631569920666,0.3942509645708864,0.5167966210645514,0.29619594481323547,0.6652436192043425,0.18389973903690182,0.5910652659774402,0.2384192961609975,0.007151730421000384,0.19538806993247895,0.05147763404460643,0.30605762637113204,0.32959639007902675
