contrast,target,temperature,sd_control,sd_crispant,loo_auc,q_auc,log_sd_ratio,perm_p_dispersion,q_dispersion
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,0.1950222814051126,0.3259541504648666,0.675,0.22886204704386523,0.5136429130776621,0.0969030969030969,0.1978021978021978
atf6 vs ctrl | 24C | 30hpf,atf6,24.0,0.25134873044987754,0.3463759361468834,0.5757575757575758,0.4222444222444222,0.3206833666767604,0.17282717282717283,0.2828081009899192
atf6 vs ctrl | 24C | 36hpf,atf6,24.0,0.2871031790383347,0.8401661944958295,0.6458333333333334,0.24236632932285107,1.073758062861613,0.08491508491508491,0.1978021978021978
atf6 vs ctrl | 28C | 24hpf,atf6,28.0,0.2925101724871246,0.5722384421230761,0.18181818181818182,0.9782217782217782,0.6710563175767013,0.0959040959040959,0.1978021978021978
atf6 vs ctrl | 28C | 30hpf,atf6,28.0,0.14975904426341705,0.4361862239316331,0.5681818181818182,0.43776912742429985,1.0690416403480452,0.03996003996003996,0.1798201798201798
atf6 vs ctrl | 28C | 36hpf,atf6,28.0,0.08647636842362244,0.15095098986485003,0.4818181818181818,0.6635944700460829,0.5570840345012327,0.12187812187812187,0.21938061938061937
atf6 vs ctrl | 34C | 24hpf,atf6,34.0,0.2606345624317147,0.4562942182280257,0.7430555555555556,0.10978495189021505,0.5600185345992845,0.0989010989010989,0.1978021978021978
atf6 vs ctrl | 34C | 30hpf,atf6,34.0,0.1318227313319117,0.44313374055334787,0.020833333333333332,0.9960039960039961,1.2124135463217982,0.057942057942057944,0.18581418581418582
atf6 vs ctrl | 34C | 36hpf,atf6,34.0,0.2507561722104448,0.4805050221420031,0.8484848484848485,0.007992007992007992,0.6503566387282717,0.2127872127872128,0.3191808191808192
atf6 vs ctrl | 35C | 24hpf,atf6,35.0,0.36417953631647576,0.4903372250755403,0.5454545454545454,0.4903096903096903,0.2974463911569237,0.27172827172827174,0.3762391454699147
atf6 vs ctrl | 35C | 30hpf,atf6,35.0,0.3403591065447133,0.27873879004102237,0.7454545454545455,0.1038961038961039,-0.19972614908147984,0.7272727272727273,0.7480519480519481
atf6 vs ctrl | 35C | 36hpf,atf6,35.0,0.41800423751883714,0.3038005501405392,0.3194444444444444,0.9191984486102134,-0.3191201690540274,0.8111888111888111,0.8111888111888111
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,0.1319250499837186,0.27450357517153634,0.9166666666666666,0.007192807192807194,0.7327303269976243,0.01898101898101898,0.16783216783216784
ctcf vs ctrl | 24C | 30hpf,ctcf,24.0,0.41864402573283555,0.35978901885109915,0.7847222222222222,0.05514485514485514,-0.15150317733046625,0.6593406593406593,0.7192807192807193
ctcf vs ctrl | 24C | 36hpf,ctcf,24.0,0.2538817654823459,0.5620018655016333,0.7986111111111112,0.03596403596403597,0.7946365008687624,0.025974025974025976,0.16783216783216784
ctcf vs ctrl | 28C | 24hpf,ctcf,28.0,0.5671689456674568,0.50472151181786,0.4214876033057851,0.7777222777222778,-0.11665040806779514,0.6553446553446554,0.7192807192807193
ctcf vs ctrl | 28C | 30hpf,ctcf,28.0,0.12865672783516613,0.4310399790933506,0.9545454545454546,0.007192807192807194,1.2090530117104128,0.007992007992007992,0.14385614385614387
ctcf vs ctrl | 28C | 36hpf,ctcf,28.0,0.21462707533178033,0.799588787065827,0.8484848484848485,0.016347289074561802,1.3151955906062371,0.04595404595404595,0.1838161838161838
ctcf vs ctrl | 34C | 24hpf,ctcf,34.0,0.22197406832243508,0.6993653423668462,0.8958333333333334,0.007992007992007992,1.1476127043315016,0.10589410589410589,0.20064146379935852
ctcf vs ctrl | 34C | 30hpf,ctcf,34.0,0.30823054551869294,0.42798627390728294,0.8888888888888888,0.007992007992007992,0.32824309737721064,0.24475524475524477,0.3524475524475525
ctcf vs ctrl | 34C | 36hpf,ctcf,34.0,0.20378905477901657,0.944744550965101,0.8636363636363636,0.01078921078921079,1.5338291608628805,0.027972027972027972,0.16783216783216784
ctcf vs ctrl | 35C | 24hpf,ctcf,35.0,0.18552365030713622,0.359983395824419,0.625,0.3086913086913087,0.6628755388386436,0.052947052947052944,0.18581418581418582
ctcf vs ctrl | 35C | 30hpf,ctcf,35.0,0.16476348361927579,0.45024448921686494,0.575,0.43776912742429985,1.0052797316532993,0.003996003996003996,0.14385614385614387
