"contrast","arm","cell_type","logFC","logCPM","F","p_value","q_value","score_z"
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","ecto-epithelial cell, non-neural ectoderm",-0.0119637358483652,15.786061651583,0.0449506410735052,0.8321488189022,0.955291659182872,-0.267012145513882
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","ectodermal cell, lateral line placode",-0.199871246278335,13.0938296421801,3.39762826337807,0.0656599740249994,0.656599740249994,-1.86567529399302
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","ectodermal cell, lens vesicle",0.0370732530927992,12.8926320910582,0.106737936693584,0.743974413926917,0.955291659182872,0.369400263889984
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","ectodermal cell, otic placode",0.0762018526856029,13.1366112164585,0.508098034220199,0.476171216957538,0.951363343590426,0.813374653724154
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","ectodermal cell, preplacodal ectoderm",0.0488675457740789,14.0360731978685,0.400299401437374,0.527115467870333,0.951363343590426,0.796692828877053
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","endodermal cell, early pharyngeal endoderm",-0.0444902326849219,13.5726662848736,0.219181220488624,0.639792018224968,0.955291659182872,-0.43105874714908
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","endothelial cell, blood island (posterior)",0.132577621243798,13.6644805596791,1.74280762178653,0.187161067770991,0.756842881751146,1.15410861750695
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","epithelial cell, pharyngeal epithelium",-0.0860838892954765,13.2299021165133,0.605878203578075,0.436574127757697,0.951363343590426,-0.527660552640156
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","fast muscle cell, fast muscle tissue (differentiating)",-0.0168562077939368,14.7071129171491,0.043952070343479,0.833996187027178,0.955291659182872,0.0244389383024857
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","fast muscle myoblast, fast muscle tissue",-0.127014535325651,14.9819509366589,3.83045904561688,0.0506765504406919,0.656599740249994,-1.51791906642976
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","glial cell, floor plate (pappaa+)",0.0234773624505709,13.1520985171982,0.0447036769845843,0.832603693813602,0.955291659182872,0.200780799254567
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","glial cell, optic stalk",-0.101995052991518,13.4123284305596,0.953884100739594,0.329027835881077,0.877407562349539,-0.94136020476815
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","hatching gland cell, polster",-0.129017615453254,14.0163022320316,1.87728016874863,0.171027971628507,0.756842881751146,-1.13562929883407
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","mesenchymal cell, myotome",-0.0515531665830687,14.0998103207058,0.391513066330976,0.531683599674725,0.951363343590426,-0.639690290982016
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","mesenchymal cell, pharyngeal arch (tbx15+)",-0.034881464619138,13.3634847609791,0.124112864323311,0.724708655736921,0.955291659182872,-0.35471328627716
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","mesodermal cell, posterior lateral plate mesoderm (hand2+)",-0.230455170611377,13.0750785432186,5.09990492590306,0.0241957857330724,0.523897533176986,-2.94053789453011
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","mesodermal cell, presomitic mesoderm",-0.0779809488403349,14.9626865608064,1.06085583795988,0.303331359645231,0.877407562349539,-0.968760325551479
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","mesodermal cell, somite",-0.0847725635062816,14.75733062352,1.98351313935299,0.159409294314125,0.756842881751146,-1.75142941798943
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural crest cell, head mesenchyme (gdf11+)",0.263231545180146,13.0489686344894,4.96152006101098,0.0261948766588493,0.523897533176986,1.83414402655787
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural crest cell, head mesenchyme (tnc+)",-0.021013609051011,13.1915280090728,0.0418893692281801,0.837882859172171,0.955291659182872,-0.278400387819964
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural progenitor cell, hindbrain",0.0189258653066211,14.5811083767866,0.0685108565836137,0.793584813691106,0.955291659182872,0.178519426620523
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural progenitor cell, midbrain",0.0750947984853824,16.1037532312318,1.5123417873599,0.219143630147701,0.779996832985105,1.16871756752653
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural progenitor cell, midbrain-hindbrain boundary",0.085068181104364,14.8239486955951,1.88590667132851,0.17004908142317,0.756842881751146,1.72175570474116
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural progenitor cell, rhombomere (7 and 8)",-0.0522637123761019,15.4580438219063,0.707785248492646,0.400431435397766,0.951363343590426,-1.04269023830468
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural progenitor cell, rhombomere 3",0.124312247492421,13.4701088386015,1.41852824986538,0.233999049895531,0.779996832985105,0.98110313564044
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural progenitor cell, rhombomere 5",-0.078914979387498,13.4544401191824,0.689759124636146,0.406494103590497,0.951363343590426,-0.810173940796376
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neural progenitor cell, rhombomere 6",0.0244945082002199,13.4238034495132,0.0674400224168705,0.795168049413742,0.955291659182872,0.389420896902769
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neurecto-epithelial cell, spinal cord",0.0573702504564777,13.7299216537101,0.362966714616273,0.547033922564495,0.951363343590426,0.456847121100692
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neurectodermal cell, future diencephalon",0.078944417195611,14.1180235165459,0.958990006046451,0.327737518374295,0.877407562349539,0.912342454275923
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neurectodermal cell, future diencephalon (ventral)",-0.0154234177240737,13.9196712535406,0.0312347139075781,0.859762493264585,0.955291659182872,-0.243791927161463
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neurectodermal cell, future telencephalon",0.00917307350312186,14.3099361907869,0.0173131778493916,0.895349944990621,0.967945886476347,0.0986924721347998
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neurectodermal cell, spinal cord neural keel",-0.0895032129633319,15.0269899478698,1.72669081099728,0.189210720437787,0.756842881751146,-1.32212118232546
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neuroblast (sensu Vertebrata), spinal cord (primary)",-0.0182949788702826,13.8202420739752,0.0457940021324942,0.830605226201457,0.955291659182872,-0.279674444334762
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","neuromesodermal progenitor cell, post-anal tail bud",-0.00399875736534171,12.9065149651548,0.0011430258616672,0.973038159150929,0.973038159150929,-0.0534537998923543
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","notochordal cell, notochord (18 hpf)",-0.00768012777485605,13.2086137411577,0.00582781646769531,0.939167581334533,0.969383444675154,-0.0701243216991393
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","peridermal cell, periderm (10-18 hpf)",0.0272912931075465,13.3058274376017,0.0603494473920944,0.806007483409654,0.955291659182872,0.42148243368852
