"contrast","arm","n_embryos","n_cell_types","t_std","p_global","d_shrunk","n_hits_q10","n_hits_q05","subset"
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1",22,40,0.0655731384845762,0.424787606196902,4.87927039389021,0,0,"all contrast members"
"atf6 vs ctrl | 24C | 24hpf","within_pc1",10,40,0.30804842732334,0.36431784107946,3.71158580995391,0,0,"crispants only"
"atf6 vs ctrl | 24C | 30hpf","pooled_pc1",23,35,4.09537726974276,0.00249875062468766,5.05324270558144,8,5,"all contrast members"
"atf6 vs ctrl | 24C | 30hpf","within_pc1",11,35,0.525155718745808,0.224887556221889,3.57415062306213,0,0,"crispants only"
"atf6 vs ctrl | 24C | 36hpf","pooled_pc1",23,43,0.557966987096139,0.191404297851074,5.06980938190438,0,0,"all contrast members"
"atf6 vs ctrl | 24C | 36hpf","within_pc1",11,43,0.701328064100311,0.218390804597701,4.07139000646975,0,0,"crispants only"
"atf6 vs ctrl | 28C | 24hpf","pooled_pc1",22,46,2.91004646967916,0.0169915042478761,5.49499647786087,5,2,"all contrast members"
"atf6 vs ctrl | 28C | 24hpf","within_pc1",11,46,1.79632308552,0.0459770114942529,4.10550509272194,4,4,"crispants only"
"atf6 vs ctrl | 28C | 30hpf","pooled_pc1",23,41,3.37141999622765,0.00599700149925037,5.24822482678758,11,6,"all contrast members"
"atf6 vs ctrl | 28C | 30hpf","within_pc1",11,41,2.33526501258158,0.0329835082458771,4.04964857814568,7,6,"crispants only"
"atf6 vs ctrl | 28C | 36hpf","pooled_pc1",21,63,0.0219569891145015,0.399800099950025,5.40783174920641,0,0,"all contrast members"
"atf6 vs ctrl | 28C | 36hpf","within_pc1",10,63,0.285339416674576,0.262868565717141,3.95124694084931,0,0,"crispants only"
"atf6 vs ctrl | 34C | 24hpf","pooled_pc1",24,45,0.436241532342032,0.271864067966017,5.00645517986234,2,2,"all contrast members"
"atf6 vs ctrl | 34C | 24hpf","within_pc1",12,45,-1.08252066760254,0.883558220889555,3.84947551457678,0,0,"crispants only"
"atf6 vs ctrl | 34C | 30hpf","pooled_pc1",23,54,2.18751604801989,0.0324837581209395,5.46281311604537,6,4,"all contrast members"
"atf6 vs ctrl | 34C | 30hpf","within_pc1",11,54,1.40451010348695,0.0829585207396302,4.11145865998209,1,1,"crispants only"
"atf6 vs ctrl | 34C | 36hpf","pooled_pc1",22,85,7.5765671179263,0.000499750124937531,6.00727276932104,43,32,"all contrast members"
"atf6 vs ctrl | 34C | 36hpf","within_pc1",10,85,3.58656926222724,0.00749625187406297,4.02308600687946,25,19,"crispants only"
"atf6 vs ctrl | 35C | 24hpf","pooled_pc1",23,49,0.763529951098185,0.198900549725137,5.23857399347601,0,0,"all contrast members"
"atf6 vs ctrl | 35C | 24hpf","within_pc1",11,49,0.604443724827552,0.252373813093453,3.91814271818623,1,0,"crispants only"
"atf6 vs ctrl | 35C | 30hpf","pooled_pc1",20,56,-0.173072878897128,0.537731134432784,5.22887652684357,0,0,"all contrast members"
"atf6 vs ctrl | 35C | 30hpf","within_pc1",11,56,-0.485937756512864,0.674662668665667,4.06447602018194,0,0,"crispants only"
"atf6 vs ctrl | 35C | 36hpf","pooled_pc1",23,76,0.315292429999574,0.308845577211394,5.65089701560758,0,0,"all contrast members"
"atf6 vs ctrl | 35C | 36hpf","within_pc1",12,76,1.99328662691323,0.0454772613693153,4.47847425734483,5,2,"crispants only"
"ctcf vs ctrl | 24C | 24hpf","pooled_pc1",20,43,1.81108425220791,0.0539730134932534,5.18233731989991,0,0,"all contrast members"
"ctcf vs ctrl | 24C | 24hpf","within_pc1",8,43,0.283737684574011,0.279860069965017,3.43508822497145,0,0,"crispants only"
"ctcf vs ctrl | 24C | 30hpf","pooled_pc1",22,31,4.49809881194805,0.00299850074962519,5.16629204274692,6,0,"all contrast members"
"ctcf vs ctrl | 24C | 30hpf","within_pc1",10,31,0.310819157583862,0.336331834082959,3.58496041572243,0,0,"crispants only"
"ctcf vs ctrl | 24C | 36hpf","pooled_pc1",24,44,5.36596340523266,0.00299850074962519,5.8149129514846,17,13,"all contrast members"
"ctcf vs ctrl | 24C | 36hpf","within_pc1",12,44,2.26755670505202,0.0284857571214393,4.31725338122663,1,1,"crispants only"
"ctcf vs ctrl | 28C | 24hpf","pooled_pc1",22,50,1.14665394675484,0.12743628185907,5.34144876356033,3,3,"all contrast members"
"ctcf vs ctrl | 28C | 24hpf","within_pc1",11,50,-0.230597630898138,0.518740629685157,3.9901144957317,0,0,"crispants only"
"ctcf vs ctrl | 28C | 30hpf","pooled_pc1",22,41,5.94642837013771,0.000999500249875062,5.37055174427288,21,16,"all contrast members"
"ctcf vs ctrl | 28C | 30hpf","within_pc1",10,41,1.88817858758237,0.0519740129935032,3.73559482222253,3,3,"crispants only"
"ctcf vs ctrl | 28C | 36hpf","pooled_pc1",23,64,6.36345455126859,0.000499750124937531,5.78341515107977,28,23,"all contrast members"
"ctcf vs ctrl | 28C | 36hpf","within_pc1",12,64,2.22919601419473,0.0439780109945027,4.28859546013986,1,1,"crispants only"
"ctcf vs ctrl | 34C | 24hpf","pooled_pc1",24,45,1.57174294005644,0.0774612693653173,5.49503085011876,2,2,"all contrast members"
"ctcf vs ctrl | 34C | 24hpf","within_pc1",12,45,-0.0105890961733626,0.399300349825087,3.99522198160879,0,0,"crispants only"
"ctcf vs ctrl | 34C | 30hpf","pooled_pc1",23,54,8.82799538906169,0.000499750124937531,6.02290996274824,35,31,"all contrast members"
"ctcf vs ctrl | 34C | 30hpf","within_pc1",11,54,2.82392782316691,0.0224887556221889,4.1997212981478,2,1,"crispants only"
"ctcf vs ctrl | 34C | 36hpf","pooled_pc1",23,87,7.86499520414609,0.000499750124937531,5.93423530072789,59,54,"all contrast members"
"ctcf vs ctrl | 34C | 36hpf","within_pc1",11,87,1.69903129835783,0.0734632683658171,4.24928587464891,20,11,"crispants only"
