"contrast","n_embryos","n_crispant","n_cell_types"
"atf6 vs ctrl | 24C | 24hpf",22,10,40
"atf6 vs ctrl | 24C | 30hpf",23,11,35
"atf6 vs ctrl | 24C | 36hpf",23,11,43
"atf6 vs ctrl | 28C | 24hpf",22,11,46
"atf6 vs ctrl | 28C | 30hpf",23,11,41
"atf6 vs ctrl | 28C | 36hpf",21,10,63
"atf6 vs ctrl | 34C | 24hpf",24,12,45
"atf6 vs ctrl | 34C | 30hpf",23,11,54
"atf6 vs ctrl | 34C | 36hpf",22,10,85
"atf6 vs ctrl | 35C | 24hpf",23,11,49
"atf6 vs ctrl | 35C | 30hpf",20,11,56
"atf6 vs ctrl | 35C | 36hpf",23,12,76
"ctcf vs ctrl | 24C | 24hpf",20,8,43
"ctcf vs ctrl | 24C | 30hpf",22,10,31
"ctcf vs ctrl | 24C | 36hpf",24,12,44
"ctcf vs ctrl | 28C | 24hpf",22,11,50
"ctcf vs ctrl | 28C | 30hpf",22,10,41
"ctcf vs ctrl | 28C | 36hpf",23,12,64
"ctcf vs ctrl | 34C | 24hpf",24,12,45
"ctcf vs ctrl | 34C | 30hpf",23,11,54
"ctcf vs ctrl | 34C | 36hpf",23,11,87
"ctcf vs ctrl | 35C | 24hpf",23,11,43
"ctcf vs ctrl | 35C | 30hpf",19,10,45
"ctcf vs ctrl | 35C | 36hpf",23,12,73
"wfs1a,wfs1b vs ctrl | 24C | 24hpf",24,12,41
"wfs1a,wfs1b vs ctrl | 24C | 30hpf",24,12,29
"wfs1a,wfs1b vs ctrl | 24C | 36hpf",24,12,41
"wfs1a,wfs1b vs ctrl | 28C | 24hpf",22,11,54
"wfs1a,wfs1b vs ctrl | 28C | 30hpf",24,12,40
"wfs1a,wfs1b vs ctrl | 28C | 36hpf",23,12,57
"wfs1a,wfs1b vs ctrl | 34C | 24hpf",22,10,53
"wfs1a,wfs1b vs ctrl | 34C | 30hpf",24,12,50
"wfs1a,wfs1b vs ctrl | 34C | 36hpf",24,12,82
"wfs1a,wfs1b vs ctrl | 35C | 24hpf",20,8,50
"wfs1a,wfs1b vs ctrl | 35C | 30hpf",21,12,52
"wfs1a,wfs1b vs ctrl | 35C | 36hpf",22,11,75
