well_id,contrast,contrast_target,temperature,timepoint,is_crispant,pooled_pc1,within_pc1,sample,pooled_pc1_z,within_pc1_z
20250612_24hpf_ctrl_atf6_A01,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,0,0.13877199615483204,,GENE7_P01_A1_Bl1,0.3374150197176766,
20250612_24hpf_ctrl_atf6_A02,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,0,0.004348141921222126,,GENE7_P01_A2_Bl1,0.01057222229798718,
20250612_24hpf_ctrl_atf6_A07,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,1,0.023453892602128823,0.01987113943551111,GENE7_P01_A7_Bl1,0.05702660373908526,0.045687843616682024
20250612_24hpf_ctrl_atf6_B01,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,0,-0.07197130039211952,,GENE7_P01_B1_Bl1,-0.17499350311153133,
20250612_24hpf_ctrl_atf6_B02,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,0,0.4337234379219391,,GENE7_P01_B2_Bl1,1.0545701324002619,
20250612_24hpf_ctrl_atf6_B07,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,1,-0.38836798455431254,-0.45974481382474797,GENE7_P01_B7_Bl1,-0.9442913181122047,-1.0570480482900277
20250612_24hpf_ctrl_atf6_B08,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,1,-0.08241284844767183,-0.18688141600126018,GENE7_P01_B8_Bl1,-0.20038144333483396,-0.4296788785987505
20250612_24hpf_ctrl_atf6_C01,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,0,-0.15724101177198913,,GENE7_P01_C1_Bl1,-0.38232122155451176,
20250612_24hpf_ctrl_atf6_C02,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,0,0.16309975634561347,,GENE7_P01_C2_Bl1,0.3965663752642303,
20250612_24hpf_ctrl_atf6_C07,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,1,0.36989384365550937,0.41191343550769854,GENE7_P01_C7_Bl1,0.8993726544887298,0.947073854831626
20250612_24hpf_ctrl_atf6_C08,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,1,-0.7085441502536015,-0.7348907466416028,GENE7_P01_C8_Bl1,-1.7227786949315247,-1.6896652362021523
20250612_24hpf_ctrl_atf6_D01,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,0,0.15478392545232056,,GENE7_P01_D1_Bl1,0.3763469770961828,
20250612_24hpf_ctrl_atf6_D02,atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,0,0.28815195744533206,,GENE7_P01_D2_Bl1,0.7006226118893983,
