contrast,reference_only,shared,arm_only,reference_total,arm_total,jaccard,recovery,precision,n_tested,usable
atf6 vs ctrl | 24C | 24hpf,2,0,0,2,0,0.0,0.0,,40,False
atf6 vs ctrl | 28C | 24hpf,12,3,2,15,5,0.17647058823529413,0.2,0.6,46,False
atf6 vs ctrl | 34C | 24hpf,7,2,0,9,2,0.2222222222222222,0.2222222222222222,1.0,45,False
atf6 vs ctrl | 35C | 24hpf,0,0,0,0,0,,,,49,False
atf6 vs ctrl | 24C | 30hpf,3,0,8,3,8,0.0,0.0,0.0,35,False
atf6 vs ctrl | 28C | 30hpf,8,6,5,14,11,0.3157894736842105,0.42857142857142855,0.5454545454545454,41,False
atf6 vs ctrl | 35C | 30hpf,0,0,0,0,0,,,,56,False
atf6 vs ctrl | 24C | 36hpf,6,0,0,6,0,0.0,0.0,,43,False
atf6 vs ctrl | 28C | 36hpf,19,0,0,19,0,0.0,0.0,,63,False
atf6 vs ctrl | 34C | 36hpf,4,25,18,29,43,0.5319148936170213,0.8620689655172413,0.5813953488372093,85,True
atf6 vs ctrl | 35C | 36hpf,1,0,0,1,0,0.0,0.0,,76,False
ctcf vs ctrl | 24C | 24hpf,11,0,0,11,0,0.0,0.0,,43,True
ctcf vs ctrl | 28C | 24hpf,8,1,2,9,3,0.09090909090909091,0.1111111111111111,0.3333333333333333,50,False
ctcf vs ctrl | 34C | 24hpf,5,2,0,7,2,0.2857142857142857,0.2857142857142857,1.0,45,True
ctcf vs ctrl | 35C | 24hpf,12,0,0,12,0,0.0,0.0,,43,False
ctcf vs ctrl | 24C | 30hpf,8,2,4,10,6,0.14285714285714285,0.2,0.3333333333333333,31,True
ctcf vs ctrl | 28C | 30hpf,3,19,2,22,21,0.7916666666666666,0.8636363636363636,0.9047619047619048,41,True
ctcf vs ctrl | 34C | 30hpf,3,29,6,32,35,0.7631578947368421,0.90625,0.8285714285714286,54,True
ctcf vs ctrl | 35C | 30hpf,21,0,0,21,0,0.0,0.0,,45,False
ctcf vs ctrl | 24C | 36hpf,5,14,3,19,17,0.6363636363636364,0.7368421052631579,0.8235294117647058,44,True
ctcf vs ctrl | 28C | 36hpf,11,27,1,38,28,0.6923076923076923,0.7105263157894737,0.9642857142857143,64,True
ctcf vs ctrl | 34C | 36hpf,7,45,14,52,59,0.6818181818181818,0.8653846153846154,0.7627118644067796,87,True
ctcf vs ctrl | 35C | 36hpf,48,0,0,48,0,0.0,0.0,,73,False
"wfs1a,wfs1b vs ctrl | 24C | 24hpf",11,0,0,11,0,0.0,0.0,,41,True
"wfs1a,wfs1b vs ctrl | 28C | 24hpf",10,1,5,11,6,0.0625,0.09090909090909091,0.16666666666666666,54,False
"wfs1a,wfs1b vs ctrl | 34C | 24hpf",8,4,6,12,10,0.2222222222222222,0.3333333333333333,0.4,53,True
"wfs1a,wfs1b vs ctrl | 35C | 24hpf",10,0,0,10,0,0.0,0.0,,50,False
"wfs1a,wfs1b vs ctrl | 24C | 30hpf",0,1,9,1,10,0.1,1.0,0.1,29,False
"wfs1a,wfs1b vs ctrl | 28C | 30hpf",5,4,3,9,7,0.3333333333333333,0.4444444444444444,0.5714285714285714,40,True
"wfs1a,wfs1b vs ctrl | 34C | 30hpf",9,3,8,12,11,0.15,0.25,0.2727272727272727,50,False
"wfs1a,wfs1b vs ctrl | 35C | 30hpf",3,0,0,3,0,0.0,0.0,,52,True
"wfs1a,wfs1b vs ctrl | 24C | 36hpf",2,9,0,11,9,0.8181818181818182,0.8181818181818182,1.0,41,True
"wfs1a,wfs1b vs ctrl | 28C | 36hpf",20,7,1,27,8,0.25,0.25925925925925924,0.875,57,True
"wfs1a,wfs1b vs ctrl | 34C | 36hpf",12,26,2,38,28,0.65,0.6842105263157895,0.9285714285714286,82,True
"wfs1a,wfs1b vs ctrl | 35C | 36hpf",7,1,0,8,1,0.125,0.125,1.0,75,False
