contrast,reference_only,shared,arm_only,reference_total,arm_total,jaccard,recovery,precision,n_tested,usable
atf6 vs ctrl | 24C | 24hpf,0,2,2,2,4,0.5,1.0,0.5,40,False
atf6 vs ctrl | 28C | 24hpf,10,5,3,15,8,0.2777777777777778,0.3333333333333333,0.625,46,False
atf6 vs ctrl | 34C | 24hpf,9,0,0,9,0,0.0,0.0,,45,False
atf6 vs ctrl | 35C | 24hpf,0,0,0,0,0,,,,49,False
atf6 vs ctrl | 24C | 30hpf,3,0,0,3,0,0.0,0.0,,35,False
atf6 vs ctrl | 28C | 30hpf,6,8,5,14,13,0.42105263157894735,0.5714285714285714,0.6153846153846154,41,False
atf6 vs ctrl | 35C | 30hpf,0,0,0,0,0,,,,56,False
atf6 vs ctrl | 24C | 36hpf,5,1,0,6,1,0.16666666666666666,0.16666666666666666,1.0,43,False
atf6 vs ctrl | 28C | 36hpf,19,0,0,19,0,0.0,0.0,,63,False
atf6 vs ctrl | 34C | 36hpf,1,28,22,29,50,0.5490196078431373,0.9655172413793104,0.56,85,True
atf6 vs ctrl | 35C | 36hpf,1,0,0,1,0,0.0,0.0,,76,False
ctcf vs ctrl | 24C | 24hpf,8,3,4,11,7,0.2,0.2727272727272727,0.42857142857142855,43,True
ctcf vs ctrl | 28C | 24hpf,9,0,0,9,0,0.0,0.0,,50,False
ctcf vs ctrl | 34C | 24hpf,4,3,0,7,3,0.42857142857142855,0.42857142857142855,1.0,45,True
ctcf vs ctrl | 35C | 24hpf,6,6,2,12,8,0.42857142857142855,0.5,0.75,43,False
ctcf vs ctrl | 24C | 30hpf,6,4,0,10,4,0.4,0.4,1.0,31,True
ctcf vs ctrl | 28C | 30hpf,3,19,2,22,21,0.7916666666666666,0.8636363636363636,0.9047619047619048,41,True
ctcf vs ctrl | 34C | 30hpf,2,30,5,32,35,0.8108108108108109,0.9375,0.8571428571428571,54,True
ctcf vs ctrl | 35C | 30hpf,2,19,6,21,25,0.7037037037037037,0.9047619047619048,0.76,45,False
ctcf vs ctrl | 24C | 36hpf,6,13,2,19,15,0.6190476190476191,0.6842105263157895,0.8666666666666667,44,True
ctcf vs ctrl | 28C | 36hpf,6,32,4,38,36,0.7619047619047619,0.8421052631578947,0.8888888888888888,64,True
ctcf vs ctrl | 34C | 36hpf,7,45,15,52,60,0.6716417910447762,0.8653846153846154,0.75,87,True
ctcf vs ctrl | 35C | 36hpf,21,27,1,48,28,0.5510204081632653,0.5625,0.9642857142857143,73,False
"wfs1a,wfs1b vs ctrl | 24C | 24hpf",2,9,4,11,13,0.6,0.8181818181818182,0.6923076923076923,41,True
"wfs1a,wfs1b vs ctrl | 28C | 24hpf",6,5,4,11,9,0.3333333333333333,0.45454545454545453,0.5555555555555556,54,False
"wfs1a,wfs1b vs ctrl | 34C | 24hpf",6,6,9,12,15,0.2857142857142857,0.5,0.4,53,True
"wfs1a,wfs1b vs ctrl | 35C | 24hpf",10,0,0,10,0,0.0,0.0,,50,False
"wfs1a,wfs1b vs ctrl | 24C | 30hpf",0,1,2,1,3,0.3333333333333333,1.0,0.3333333333333333,29,False
"wfs1a,wfs1b vs ctrl | 28C | 30hpf",2,7,4,9,11,0.5384615384615384,0.7777777777777778,0.6363636363636364,40,True
"wfs1a,wfs1b vs ctrl | 34C | 30hpf",5,7,11,12,18,0.30434782608695654,0.5833333333333334,0.3888888888888889,50,False
"wfs1a,wfs1b vs ctrl | 35C | 30hpf",1,2,3,3,5,0.3333333333333333,0.6666666666666666,0.4,52,True
"wfs1a,wfs1b vs ctrl | 24C | 36hpf",2,9,0,11,9,0.8181818181818182,0.8181818181818182,1.0,41,True
"wfs1a,wfs1b vs ctrl | 28C | 36hpf",5,22,5,27,27,0.6875,0.8148148148148148,0.8148148148148148,57,True
"wfs1a,wfs1b vs ctrl | 34C | 36hpf",11,27,0,38,27,0.7105263157894737,0.7105263157894737,1.0,82,True
"wfs1a,wfs1b vs ctrl | 35C | 36hpf",5,3,0,8,3,0.375,0.375,1.0,75,False
