contrast,reference_only,shared,arm_only,reference_total,arm_total,jaccard,recovery,precision,n_tested,usable
atf6 vs ctrl | 24C | 24hpf,2,0,0,2,0,0.0,0.0,,40,False
atf6 vs ctrl | 28C | 24hpf,12,3,1,15,4,0.1875,0.2,0.75,46,False
atf6 vs ctrl | 34C | 24hpf,9,0,0,9,0,0.0,0.0,,45,False
atf6 vs ctrl | 35C | 24hpf,0,0,1,0,1,0.0,,0.0,49,False
atf6 vs ctrl | 24C | 30hpf,3,0,0,3,0,0.0,0.0,,35,False
atf6 vs ctrl | 28C | 30hpf,9,5,2,14,7,0.3125,0.35714285714285715,0.7142857142857143,41,False
atf6 vs ctrl | 35C | 30hpf,0,0,0,0,0,,,,56,False
atf6 vs ctrl | 24C | 36hpf,6,0,0,6,0,0.0,0.0,,43,False
atf6 vs ctrl | 28C | 36hpf,19,0,0,19,0,0.0,0.0,,63,False
atf6 vs ctrl | 34C | 36hpf,12,17,8,29,25,0.4594594594594595,0.5862068965517241,0.68,85,True
atf6 vs ctrl | 35C | 36hpf,1,0,5,1,5,0.0,0.0,0.0,76,False
ctcf vs ctrl | 24C | 24hpf,11,0,0,11,0,0.0,0.0,,43,True
ctcf vs ctrl | 28C | 24hpf,9,0,0,9,0,0.0,0.0,,50,False
ctcf vs ctrl | 34C | 24hpf,7,0,0,7,0,0.0,0.0,,45,True
ctcf vs ctrl | 35C | 24hpf,12,0,0,12,0,0.0,0.0,,43,False
ctcf vs ctrl | 24C | 30hpf,10,0,0,10,0,0.0,0.0,,31,True
ctcf vs ctrl | 28C | 30hpf,19,3,0,22,3,0.13636363636363635,0.13636363636363635,1.0,41,True
ctcf vs ctrl | 34C | 30hpf,31,1,1,32,2,0.030303030303030304,0.03125,0.5,54,True
ctcf vs ctrl | 35C | 30hpf,21,0,0,21,0,0.0,0.0,,45,False
ctcf vs ctrl | 24C | 36hpf,18,1,0,19,1,0.05263157894736842,0.05263157894736842,1.0,44,True
ctcf vs ctrl | 28C | 36hpf,37,1,0,38,1,0.02631578947368421,0.02631578947368421,1.0,64,True
ctcf vs ctrl | 34C | 36hpf,35,17,3,52,20,0.3090909090909091,0.3269230769230769,0.85,87,True
ctcf vs ctrl | 35C | 36hpf,48,0,0,48,0,0.0,0.0,,73,False
"wfs1a,wfs1b vs ctrl | 24C | 24hpf",11,0,0,11,0,0.0,0.0,,41,True
"wfs1a,wfs1b vs ctrl | 28C | 24hpf",11,0,0,11,0,0.0,0.0,,54,False
"wfs1a,wfs1b vs ctrl | 34C | 24hpf",11,1,4,12,5,0.0625,0.08333333333333333,0.2,53,True
"wfs1a,wfs1b vs ctrl | 35C | 24hpf",10,0,0,10,0,0.0,0.0,,50,False
"wfs1a,wfs1b vs ctrl | 24C | 30hpf",1,0,0,1,0,0.0,0.0,,29,False
"wfs1a,wfs1b vs ctrl | 28C | 30hpf",9,0,0,9,0,0.0,0.0,,40,True
"wfs1a,wfs1b vs ctrl | 34C | 30hpf",12,0,3,12,3,0.0,0.0,0.0,50,False
"wfs1a,wfs1b vs ctrl | 35C | 30hpf",3,0,1,3,1,0.0,0.0,0.0,52,True
"wfs1a,wfs1b vs ctrl | 24C | 36hpf",11,0,0,11,0,0.0,0.0,,41,True
"wfs1a,wfs1b vs ctrl | 28C | 36hpf",27,0,0,27,0,0.0,0.0,,57,True
"wfs1a,wfs1b vs ctrl | 34C | 36hpf",38,0,0,38,0,0.0,0.0,,82,True
"wfs1a,wfs1b vs ctrl | 35C | 36hpf",8,0,0,8,0,0.0,0.0,,75,False
