dimension,family,pre_vs_legacy_correlation,post_vs_legacy_correlation,pre_vs_post_correlation
0,nuisance,0.8853007088205169,0.920085746600739,0.9412889261802058
1,nuisance,0.9730431115372515,0.9788888637844201,0.990162931887305
2,nuisance,0.1461346570954734,0.25532873375242343,0.38674386162819935
3,nuisance,0.6068099233814721,0.8574734928039968,0.8140006813861832
4,nuisance,0.09678508662143351,0.28085844614194055,0.6000434120019394
5,nuisance,-0.12487215292024344,0.22609110996674936,0.36944540709335416
6,nuisance,0.688950051084809,0.7764922470809206,0.9295332248392936
7,nuisance,0.024094851736459533,0.16850488585515758,0.6776721306243773
8,nuisance,0.25661574316977537,0.3850523374060301,0.8073455716151504
9,nuisance,0.5975608791468199,0.7552274852037633,0.9883259155400288
10,nuisance,-0.17850200906142435,-0.1256407164654661,0.898143408634895
11,nuisance,0.5355286876612618,0.8012510348822934,0.8741057000385328
12,nuisance,0.003394601000870521,0.2676653918761359,0.6014041657684094
13,nuisance,0.32611007590375574,0.3673773391217525,0.32036587095709734
14,nuisance,0.19582522874228733,0.30669363154296087,0.8885022084197617
15,nuisance,0.47938628118269516,0.6870478565834761,0.7131780557938588
16,nuisance,0.2036905796654415,0.5189884455403583,0.7468940363287542
17,nuisance,0.24826269949968602,0.5129268088978568,0.6438791730401988
18,nuisance,-0.2053326856072542,-0.3582726610319114,0.7401655827702119
19,nuisance,0.029632696545616087,0.13812280277231576,0.6987147352364139
20,biological,-0.00656466314512024,0.09427802915086991,0.8256774374731948
21,biological,0.5519361071667805,0.5407019267763752,0.9505675103127114
22,biological,0.7380226077434593,0.7012098786193556,0.8581152438278374
23,biological,0.46024147450984426,0.4610241422235876,0.9687327122172504
24,biological,0.6358909911376827,0.6510013335573096,0.852456194585532
25,biological,0.7533613584559042,0.7556882569034766,0.9317657967921277
26,biological,0.41467135540719924,0.475053523613152,0.9367293441968045
27,biological,0.5254698514798506,0.39848780900648756,0.7034505888001679
28,biological,0.7004566429345566,0.6269144577447746,0.8599232229188417
29,biological,0.35809665529290574,0.34947629810452535,0.8957932705637462
30,biological,0.44855002758879087,0.37954863307609477,0.8837113580007455
31,biological,0.23700597243484747,0.23329352046101756,0.9262344220108079
32,biological,0.6625399068923115,0.5363150225449211,0.7730264287405553
33,biological,0.9522963642529498,0.9671852011238847,0.987839880625516
34,biological,0.5413133240743706,0.5942413873213602,0.9729524613766198
35,biological,0.21705863182020071,0.24727211120118603,0.929382476785595
36,biological,0.534762271346381,0.5812466313031999,0.9524041601144574
37,biological,0.5766283280364366,0.5757599016108561,0.7339177185643776
38,biological,-0.0690734265599717,-0.016736450531832054,0.8728373766241125
39,biological,0.637530942492321,0.6680065227515402,0.8301734291374987
40,biological,0.7183536603182817,0.6490294129490142,0.858821002946155
41,biological,0.4660434888117508,0.5077571758634302,0.969247543142646
42,biological,0.40976538026445053,0.44416123245557604,0.807158375592869
43,biological,0.5255000263053541,0.5554121117630075,0.9195473026671892
44,biological,-0.018239279405333163,0.0474253644752381,0.9663618279596011
45,biological,0.6280261056335916,0.6169337106439977,0.6111114020007639
46,biological,0.6510872837543604,0.7076116965936766,0.9734513018911506
47,biological,0.6464517373522796,0.6003294101904394,0.8504086432686762
48,biological,0.5081778487943566,0.6045436611405902,0.968713693782647
49,biological,0.2757684619186457,0.35673701190344687,0.9802621171361503
50,biological,0.644913556351672,0.49976824897379507,0.7538102094345142
