scope,perturbation_domain,atomic_perturbation,corpus_dataset_count,well_count,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations
Keyence,chemical,hsp90,6,192,202.0,138,202.0,2828.0,63,133.30859056368865,1866.3202678916412
Keyence,chemical,mTor,6,192,211.0,147,211.0,2954.0,46,119.90100030051947,1678.6140042072725
Keyence,environmental,19C,4,40,40.0,24,40.0,448.0,8,16.211222255613272,178.11222255613274
Keyence,environmental,22C,5,480,548.0,302,37676.0,906768.0,11102,19010.94663632851,457550.8817241231
Keyence,environmental,24C,9,216,224.0,152,224.0,3112.0,70,120.80693770660713,1678.98029450908
Keyence,environmental,25C,4,40,41.0,25,41.0,460.0,22,30.211222255613272,346.11222255613274
Keyence,environmental,30C,3,240,253.0,109,253.0,3542.0,91,164.90100030051946,2308.6140042072725
Keyence,environmental,32C,7,148,152.0,100,152.0,2016.0,58,103.67492379684883,1370.6040441334305
Keyence,environmental,33.5C,4,40,43.0,27,43.0,484.0,22,30.211222255613272,346.11222255613274
Keyence,environmental,34C,9,288,300.0,204,300.0,4176.0,136,215.03301421027777,2998.1453655604687
Keyence,environmental,35C,13,328,343.0,231,343.0,4666.0,156,243.75743785686686,3323.442407590263
Keyence,genetic,atf6,3,144,149.0,101,149.0,2086.0,82,106.63366676683982,1492.8713347357575
Keyence,genetic,b9d2,8,466,493.0,256,493.0,6902.0,142,310.3300562400721,4344.62078736101
Keyence,genetic,cep290,8,411,416.0,46,416.0,5824.0,36,225.88451466105695,3162.3832052547973
Keyence,genetic,ctcf,3,144,145.0,97,145.0,1982.0,71,95.63366676683982,1314.2376679689178
Keyence,genetic,foxj1a,1,12,12.0,0,12.0,168.0,0,6.158416691709956,86.21783368393938
Keyence,genetic,gdf3,1,64,69.0,56,4535.0,108840.0,2347,2789.379599021165,66945.11037650796
Keyence,genetic,ift88,1,12,12.0,0,12.0,168.0,0,6.158416691709956,86.21783368393938
Keyence,genetic,sspo,1,12,12.0,0,12.0,168.0,0,6.158416691709956,86.21783368393938
Keyence,genetic,wfs1a,3,144,145.0,97,145.0,1982.0,75,99.63366676683982,1370.2376679689178
Keyence,genetic,wfs1b,3,144,145.0,97,145.0,1982.0,75,99.63366676683982,1370.2376679689178
SeaHub,chemical,2-DG,1,56,56.0,56,56.0,56.0,0,55.3954857703631,55.3954857703631
SeaHub,chemical,AG1478,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,chemical,BGJ398,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,chemical,CP-673451,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,chemical,DMH1,1,40,40.0,32,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,chemical,GNE-7883,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,chemical,LY294002,1,40,40.0,40,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,chemical,LY411575,1,40,40.0,32,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,chemical,SB505124,1,40,40.0,40,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,chemical,SU5402,1,40,40.0,40,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,chemical,SU6656,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,chemical,VRI,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,chemical,leflunomide,1,56,56.0,56,56.0,56.0,0,55.3954857703631,55.3954857703631
SeaHub,chemical,oligomycin,1,40,40.0,40,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,chemical,rapamycin,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,chemical,ruxolitinib,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,chemical,simvastatin,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,chemical,unspecified chemical treatment,1,272,272.0,272,272.0,272.0,0,269.0637880274779,269.0637880274779
SeaHub,environmental,24C,1,112,112.0,112,112.0,112.0,0,110.7909715407262,110.7909715407262
SeaHub,environmental,34C,1,112,112.0,112,112.0,112.0,0,110.7909715407262,110.7909715407262
SeaHub,environmental,heat shock,1,80,80.0,80,80.0,80.0,0,79.13640824337585,79.13640824337585
SeaHub,genetic,acvr1l,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,aldh1a2,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,ascl1a,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,ascl1b,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,bmpr1aa,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,bmpr1ab,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,coro1a,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,csf3r,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,dlx1a,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,dlx2a,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,dlx3b,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,dlx4b,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,ebf1a,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,ebf1b,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,ebf2,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,ebf3a,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,emx1,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,emx2,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,emx3,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,epas1a,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,epas1b,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,erbb3a,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,erbb3b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,etv1,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,etv4,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,etv5a,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,etv5b,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,eya1,1,56,56.0,56,56.0,56.0,0,55.3954857703631,55.3954857703631
SeaHub,genetic,fgfr1a,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
