scope,corpus_dataset_id,pipeline_experiment_id,source_experiment_id,project_name,well_id,well_index,source_fov_id,source_embryo_id,gross_embryos,observed_unique_physical_embryos,peak_concurrent_embryos,n_timepoints,n_time_z_planes,gross_embryo_timepoints,gross_embryo_z_observations,observed_snip_timepoints,observed_valid_snip_timepoints,pipeline_snip_record_count,qc_evaluated_timepoints,confirmed_usable_timepoints,pipeline_qc_record_count,count_basis,embryo_count_basis,frame_inventory_present,plate_metadata_present,detected_or_registered,pipeline_materialized,genotype,chem_perturbation,dose,temperature,stage_hpf,perturbation,perturbation_key,perturbation_domain,has_seq_link,sequencing_pairing_status,collection_name,has_environmental_perturbation,has_chemical_perturbation,has_genetic_perturbation,perturbation_class,condition_signature,atomic_perturbations,classification_needs_review,classification_review_reason,effective_temperature_c,projected_usable_timepoints,projected_usable_z_observations,projection_basis
Keyence,20260324_cep290_18hpf_24hpf_plate02,20260324_cep290_18hpf_24hpf_plate02,20260324_cep290_18hpf_24hpf_plate02,CEP290,20260324_cep290_18hpf_24hpf_plate02_A03,A03,,,1.0,0,0,1,14,1.0,14.0,0,0,0,0,0,0,exact_frame_inventory,metadata_embryos_per_well,True,True,False,True,cep290_wt,,,28.5,18.0,,,,,unknown,,False,False,False,control,control,[],True,non-empty labels classified as control,28.5,0.5465293668954996,7.651411136536995,scope-specific retention
Keyence,20260324_cep290_18hpf_24hpf_plate02,20260324_cep290_18hpf_24hpf_plate02,20260324_cep290_18hpf_24hpf_plate02,CEP290,20260324_cep290_18hpf_24hpf_plate02_A05,A05,,,1.0,0,0,1,14,1.0,14.0,0,0,0,0,0,0,exact_frame_inventory,metadata_embryos_per_well,True,True,False,True,cep290_unknown,,,28.5,18.0,,,,,unknown,,False,False,True,genetic,G:cep290,"[[""genetic"", ""cep290""]]",True,unknown genetic status,28.5,0.5465293668954996,7.651411136536995,scope-specific retention
Keyence,20260324_cep290_18hpf_24hpf_plate02,20260324_cep290_18hpf_24hpf_plate02,20260324_cep290_18hpf_24hpf_plate02,CEP290,20260324_cep290_18hpf_24hpf_plate02_A06,A06,,,1.0,0,0,1,14,1.0,14.0,0,0,0,0,0,0,exact_frame_inventory,metadata_embryos_per_well,True,True,False,True,uncertain,,,28.5,24.0,,,,,unknown,,False,False,False,control,control,[],True,uncertain genotype label; unknown genetic status; non-empty labels classified as control,28.5,0.5465293668954996,7.651411136536995,scope-specific retention
Keyence,20260324_cep290_18hpf_plate01,20260324_cep290_18hpf_plate01,20260324_cep290_18hpf_plate01,CEP290,20260324_cep290_18hpf_plate01_A03,A03,,,1.0,0,0,1,14,1.0,14.0,0,0,0,0,0,0,exact_frame_inventory,metadata_embryos_per_well,True,True,False,True,cep290_wt,,,28.5,18.0,,,,,unknown,,False,False,False,control,control,[],True,non-empty labels classified as control,28.5,0.5465293668954996,7.651411136536995,scope-specific retention
Keyence,20260324_cep290_18hpf_plate01,20260324_cep290_18hpf_plate01,20260324_cep290_18hpf_plate01,CEP290,20260324_cep290_18hpf_plate01_A11,A11,,,1.0,0,0,1,14,1.0,14.0,0,0,0,0,0,0,exact_frame_inventory,metadata_embryos_per_well,True,True,False,True,cep290_unknown,,,28.5,18.0,,,,,unknown,,False,False,True,genetic,G:cep290,"[[""genetic"", ""cep290""]]",True,unknown genetic status,28.5,0.5465293668954996,7.651411136536995,scope-specific retention
Keyence,20260324_cep290_24hpf_plate01,20260324_cep290_24hpf_plate01,20260324_cep290_24hpf_plate01,CEP290,20260324_cep290_24hpf_plate01_A03,A03,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,cep290_wt,,,28.5,24.0,,,,,unknown,,False,False,False,control,control,[],True,non-empty labels classified as control,28.5,1.0,14.0,scope-specific retention
Keyence,20260324_cep290_24hpf_plate01,20260324_cep290_24hpf_plate01,20260324_cep290_24hpf_plate01,CEP290,20260324_cep290_24hpf_plate01_A08,A08,,,1.0,0,0,1,14,1.0,14.0,0,0,0,0,0,0,exact_frame_inventory,metadata_embryos_per_well,True,True,False,True,uncertain,,,28.5,24.0,,,,,unknown,,False,False,False,control,control,[],True,uncertain genotype label; unknown genetic status; non-empty labels classified as control,28.5,0.5465293668954996,7.651411136536995,scope-specific retention
Keyence,20260324_cep290_24hpf_plate02,20260324_cep290_24hpf_plate02,20260324_cep290_24hpf_plate02,CEP290,20260324_cep290_24hpf_plate02_A01,A01,,,2.0,2,2,1,14,2.0,28.0,2,2,2,2,0,2,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,cep290_wt,,,28.5,24.0,,,,,unknown,,False,False,False,control,control,[],True,non-empty labels classified as control,28.5,0.0,0.0,scope-specific retention
Keyence,20260324_cep290_24hpf_plate02,20260324_cep290_24hpf_plate02,20260324_cep290_24hpf_plate02,CEP290,20260324_cep290_24hpf_plate02_A06,A06,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,uncertain,,,28.5,24.0,,,,,unknown,,False,False,False,control,control,[],True,uncertain genotype label; unknown genetic status; non-empty labels classified as control,28.5,1.0,14.0,scope-specific retention
Keyence,20260324_cep290_30hpf_plate01,20260324_cep290_30hpf_plate01,20260324_cep290_30hpf_plate01,CEP290,20260324_cep290_30hpf_plate01_A03,A03,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,cep290_wt,,,28.5,30.0,,,,,unknown,,False,False,False,control,control,[],True,non-empty labels classified as control,28.5,1.0,14.0,scope-specific retention
Keyence,20260324_cep290_30hpf_plate01,20260324_cep290_30hpf_plate01,20260324_cep290_30hpf_plate01,CEP290,20260324_cep290_30hpf_plate01_D12,D12,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,0,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,uncertain,,,28.5,30.0,,,,,unknown,,False,False,False,control,control,[],True,uncertain genotype label; unknown genetic status; non-empty labels classified as control,28.5,0.0,0.0,scope-specific retention
Keyence,20260324_cep290_30hpf_plate02,20260324_cep290_30hpf_plate02,20260324_cep290_30hpf_plate02,CEP290,20260324_cep290_30hpf_plate02_A02,A02,,,2.0,2,2,1,14,2.0,28.0,2,2,2,2,0,2,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,cep290_wt,,,28.5,30.0,,,,,unknown,,False,False,False,control,control,[],True,non-empty labels classified as control,28.5,0.0,0.0,scope-specific retention
