scope,corpus_dataset_id,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,observed_snip_timepoints,observed_valid_snip_timepoints,qc_evaluated_timepoints,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations,pipeline_experiment_count,well_count,exact_well_count,perturbation_condition_count,stage_min_hpf,stage_max_hpf,frame_inventory_fraction,detected_fraction,sequencing_link_fraction,project_name,z_expansion_factor,qc_coverage_fraction,confirmed_retention_rate
Keyence,20230525,96.0,0,5826.0,151476.0,0,0,0,0,3184.0800915331806,82786.0823798627,1,96,83,1,15.0,15.0,0.8645833333333334,0.0,,Legacy / unspecified,26.0,0.0,
Keyence,20230531,138.0,124,9108.0,209484.0,7846,7846,7846,4044,4733.720061022121,108875.56140350876,1,96,83,1,15.0,15.0,0.8645833333333334,0.8645833333333334,,Legacy / unspecified,23.0,0.8614404918752745,0.5154218710170788
Keyence,20230602,114.0,95,11105.0,266520.0,8998,8998,8998,3447,4598.537376048817,110364.89702517162,1,96,79,1,15.5,15.5,0.8229166666666666,0.8229166666666666,,Legacy / unspecified,24.0,0.8102656461053579,0.3830851300288953
Keyence,20230608,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,Legacy / unspecified,,,
Keyence,20230613,104.0,83,6837.0,164088.0,5421,5421,5421,3611,4384.885583524027,105237.25400457665,1,96,75,2,11.66,11.66,0.78125,0.78125,,Legacy / unspecified,24.0,0.7928916191311979,0.6661132632355654
Keyence,20230615,102.0,85,5100.0,122400.0,4216,4216,4216,2767,3250.1319603356214,78003.16704805492,1,96,79,1,10.0,10.0,0.8229166666666666,0.8229166666666666,,Legacy / unspecified,24.0,0.8266666666666667,0.6563092979127134
Keyence,20230620,32.0,0,2835.0,68040.0,0,0,0,0,1549.4107551487414,37185.85812356979,1,32,32,1,,,1.0,0.0,,Legacy / unspecified,24.0,0.0,
Keyence,20230622,46.0,0,1987.0,47688.0,0,0,0,0,1085.9538520213575,26062.892448512583,1,46,46,1,,,1.0,0.0,,Legacy / unspecified,24.0,0.0,
Keyence,20230627,73.0,0,3285.0,95265.0,0,0,0,0,1795.348970251716,52065.12013729977,1,73,73,1,,,1.0,0.0,,Legacy / unspecified,29.0,0.0,
Keyence,20230629,67.0,0,2757.0,71682.0,0,0,0,0,1506.7814645308924,39176.318077803204,1,67,67,1,,,1.0,0.0,,Legacy / unspecified,26.0,0.0,
Keyence,20230830,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,Legacy / unspecified,,,
Keyence,20230831,64.0,0,64.0,1533.0,0,0,0,0,34.97787948131197,837.8295194508008,1,64,64,1,,,1.0,0.0,,Legacy / unspecified,23.953125,0.0,
Keyence,20231207,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,Legacy / unspecified,,,
Keyence,20231208,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,Legacy / unspecified,,,
Keyence,20240507,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,Legacy / unspecified,,,
Keyence,20240509_18ss,24.0,0,24.0,504.0,0,0,0,0,13.11670480549199,275.4508009153318,1,24,24,1,,,1.0,0.0,,Legacy / unspecified,21.0,0.0,
Keyence,20240509_24hpf,32.0,0,32.0,608.0,0,0,0,0,17.488939740655987,332.28985507246375,1,32,32,1,,,1.0,0.0,,Legacy / unspecified,19.0,0.0,
Keyence,20240510,10.0,0,10.0,210.0,0,0,0,0,5.465293668954995,114.7711670480549,1,10,10,1,,,1.0,0.0,,Legacy / unspecified,21.0,0.0,
Keyence,20240717,34.0,0,34.0,306.0,0,0,0,0,18.581998474446987,167.23798627002287,1,34,34,1,,,1.0,0.0,,Legacy / unspecified,9.0,0.0,
Keyence,20240718,65.0,0,65.0,650.0,0,0,0,0,35.52440884820747,355.2440884820747,1,65,65,1,,,1.0,0.0,,Legacy / unspecified,10.0,0.0,
Keyence,20240724,28.0,0,28.0,308.0,0,0,0,0,15.30282227307399,168.33104500381387,1,28,28,1,,,1.0,0.0,,Legacy / unspecified,11.0,0.0,
Keyence,20240725,30.0,0,30.0,330.0,0,0,0,0,16.395881006864986,180.35469107551486,1,30,30,1,,,1.0,0.0,,Legacy / unspecified,11.0,0.0,
Keyence,20240726,31.0,0,31.0,341.0,0,0,0,0,16.942410373760488,186.36651411136538,1,31,31,1,,,1.0,0.0,,Legacy / unspecified,11.0,0.0,
Keyence,20240813_24hpf,96.0,48,96.0,1152.0,48,48,48,47,73.23340961098398,878.8009153318078,1,96,48,6,24.0,24.0,0.5,0.5,,Legacy / unspecified,12.0,0.5,0.9791666666666666
Keyence,20240813_30hpf,98.0,50,98.0,1176.0,50,50,50,38,64.23340961098398,770.8009153318078,1,96,48,6,30.0,30.0,0.5,0.5,,Legacy / unspecified,12.0,0.5102040816326531,0.76
Keyence,20240813_36hpf,98.0,50,98.0,1176.0,50,50,50,38,64.23340961098398,770.8009153318078,1,96,48,6,36.0,36.0,0.5,0.5,,Legacy / unspecified,12.0,0.5102040816326531,0.76
Keyence,20240813_extras,96.0,0,96.0,960.0,0,0,0,0,52.46681922196796,524.6681922196796,1,96,96,6,37.0,37.0,1.0,0.0,,Legacy / unspecified,10.0,0.0,
Keyence,20250529_24hpf_ctrl_atf6,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,ER-stress regulators,,,
Keyence,20250529_24hpf_wfs1_ctcf,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,ER-stress regulators,,,
Keyence,20250529_30hpf_ctrl_atf6,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,ER-stress regulators,,,
Keyence,20250529_30hpf_wfs1_ctcf,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,ER-stress regulators,,,
Keyence,20250529_36hpf_ctrl_atf6,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,ER-stress regulators,,,
Keyence,20250529_36hpf_wfs1_ctcf,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,1,,,0.0,0.0,,ER-stress regulators,,,
Keyence,20250612_24hpf_ctrl_atf6,97.0,97,97.0,1358.0,97,97,97,93,93.0,1302.0,1,96,96,8,24.0,24.0,1.0,1.0,,ER-stress regulators,14.0,1.0,0.9587628865979382
Keyence,20250612_24hpf_wfs1_ctcf,97.0,96,97.0,1261.0,96,96,96,88,88.5465293668955,1151.1048817696415,1,96,96,8,24.0,24.0,1.0,0.9895833333333334,,ER-stress regulators,13.0,0.9896907216494846,0.9166666666666666
Keyence,20250612_30hpf_ctrl_atf6,98.0,97,98.0,1372.0,97,97,97,72,72.5465293668955,1015.651411136537,1,96,96,8,30.0,30.0,1.0,0.9895833333333334,,ER-stress regulators,14.0,0.9897959183673469,0.7422680412371134
Keyence,20250612_30hpf_wfs1_ctcf,97.0,97,97.0,1358.0,97,97,97,74,74.0,1036.0,1,96,96,8,30.0,30.0,1.0,1.0,,ER-stress regulators,14.0,1.0,0.7628865979381443
Keyence,20250612_36hpf_ctrl_atf6,102.0,102,102.0,1428.0,102,102,102,81,81.0,1134.0,1,96,96,8,36.0,36.0,1.0,1.0,,ER-stress regulators,14.0,1.0,0.7941176470588235
Keyence,20250612_36hpf_wfs1_ctcf,97.0,97,97.0,1358.0,97,97,97,72,72.0,1008.0,1,96,96,8,36.0,36.0,1.0,1.0,,ER-stress regulators,14.0,1.0,0.7422680412371134
