scope,perturbation_class,condition_signature,has_environmental_perturbation,has_chemical_perturbation,has_genetic_perturbation,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations,corpus_dataset_count,well_count,classification_needs_review,classification_review_reason
Keyence,chemical,C:hsp90,False,True,False,39.0,27,39.0,546.0,12,25.8564375563474,361.9901257888636,3,36,False,
Keyence,chemical,C:mTor,False,True,False,37.0,25,37.0,518.0,11,23.83003477439574,333.62048684154036,3,36,False,
Keyence,control,control,False,False,False,4259.0,131,14905.0,335248.0,86,7682.4069892242305,172490.3371828446,84,4261,True,non-empty labels classified as control; uncertain genotype label; unknown genetic status; non-empty labels classified as control
Keyence,environmental,T:19C,True,False,False,40.0,24,40.0,448.0,8,16.211222255613272,178.11222255613274,4,40,False,
Keyence,environmental,T:22C,True,False,False,479.0,246,33141.0,797928.0,8755,16221.567037307344,390605.77134761517,5,416,False,
Keyence,environmental,T:24C,True,False,False,62.0,42,62.0,868.0,31,45.88284033829906,642.3597647361869,6,60,False,
Keyence,environmental,T:25C,True,False,False,41.0,25,41.0,460.0,22,30.211222255613272,346.11222255613274,4,40,False,
Keyence,environmental,T:30C,True,False,False,113.0,35,113.0,1582.0,32,72.02970849611471,1008.415918945606,3,110,True,uncertain genotype label; unknown genetic status
Keyence,environmental,T:32C,True,False,False,77.0,49,77.0,966.0,36,56.528055639033184,710.5478899240115,7,76,False,
Keyence,environmental,T:33.5C,True,False,False,43.0,27,43.0,484.0,22,30.211222255613272,346.11222255613274,4,40,False,
Keyence,environmental,T:34C,True,False,False,86.0,58,86.0,1204.0,40,63.094062593912334,883.3168763147727,6,84,False,
Keyence,environmental,T:35C,True,False,False,127.0,83,127.0,1666.0,60,91.81848624050144,1208.613918344567,10,124,False,
Keyence,environmental+chemical,C:hsp90 | T:24C,True,True,False,27.0,19,27.0,378.0,7,16.237625037564932,227.32675052590906,3,24,False,
