scope,experiment_id,flag,triggered_timepoint_count,trigger_rate_all_timepoints
Keyence,20230531,discontinuous_mask_flag,65,0.008284476166199338
Keyence,20230531,edge_flag,459,0.05850114708131532
Keyence,20230531,focus_flag,1814,0.2312006117767015
Keyence,20230531,motion_blur_flag,94,0.011980627071119042
Keyence,20230531,overlapping_mask_flag,140,0.017843487127198573
Keyence,20230531,persistence_dead_flag,1107,0.14109100178434872
Keyence,20230531,sa_outlier_flag,2902,0.3698699974509304
Keyence,20230531,viability_dead_flag,1094,0.13943410655110886
Keyence,20230602,discontinuous_mask_flag,27,0.003000666814847744
Keyence,20230602,edge_flag,654,0.0726828184040898
Keyence,20230602,focus_flag,3672,0.40809068681929317
Keyence,20230602,motion_blur_flag,153,0.017003778617470548
Keyence,20230602,overlapping_mask_flag,210,0.02333851967103801
Keyence,20230602,persistence_dead_flag,3189,0.35441209157590575
Keyence,20230602,sa_outlier_flag,4263,0.47377194932207156
Keyence,20230602,viability_dead_flag,3056,0.3396310291175817
Keyence,20230613,discontinuous_mask_flag,5,0.0009223390518354548
Keyence,20230613,edge_flag,0,0.0
Keyence,20230613,focus_flag,1047,0.19313779745434423
Keyence,20230613,motion_blur_flag,7,0.0012912746725696365
Keyence,20230613,overlapping_mask_flag,0,0.0
Keyence,20230613,persistence_dead_flag,1194,0.22025456557830658
Keyence,20230613,sa_outlier_flag,1419,0.26175982291090205
Keyence,20230613,viability_dead_flag,1057,0.19498247555801512
Keyence,20230615,discontinuous_mask_flag,23,0.005455407969639468
Keyence,20230615,edge_flag,346,0.08206831119544591
Keyence,20230615,focus_flag,391,0.09274193548387097
Keyence,20230615,motion_blur_flag,232,0.05502846299810247
Keyence,20230615,overlapping_mask_flag,2,0.0004743833017077799
Keyence,20230615,persistence_dead_flag,329,0.07803605313092979
Keyence,20230615,sa_outlier_flag,1104,0.2618595825426945
Keyence,20230615,viability_dead_flag,294,0.06973434535104364
Keyence,20240813_24hpf,discontinuous_mask_flag,0,0.0
Keyence,20240813_24hpf,edge_flag,0,0.0
Keyence,20240813_24hpf,focus_flag,0,0.0
Keyence,20240813_24hpf,motion_blur_flag,1,0.020833333333333332
Keyence,20240813_24hpf,overlapping_mask_flag,0,0.0
Keyence,20240813_24hpf,persistence_dead_flag,0,0.0
Keyence,20240813_24hpf,sa_outlier_flag,0,0.0
Keyence,20240813_24hpf,viability_dead_flag,0,0.0
Keyence,20240813_30hpf,discontinuous_mask_flag,0,0.0
Keyence,20240813_30hpf,edge_flag,0,0.0
Keyence,20240813_30hpf,focus_flag,0,0.0
Keyence,20240813_30hpf,motion_blur_flag,0,0.0
Keyence,20240813_30hpf,overlapping_mask_flag,4,0.08
Keyence,20240813_30hpf,persistence_dead_flag,0,0.0
Keyence,20240813_30hpf,sa_outlier_flag,10,0.2
Keyence,20240813_30hpf,viability_dead_flag,0,0.0
Keyence,20240813_36hpf,discontinuous_mask_flag,0,0.0
Keyence,20240813_36hpf,edge_flag,0,0.0
Keyence,20240813_36hpf,focus_flag,1,0.02
Keyence,20240813_36hpf,motion_blur_flag,0,0.0
Keyence,20240813_36hpf,overlapping_mask_flag,2,0.04
Keyence,20240813_36hpf,persistence_dead_flag,0,0.0
Keyence,20240813_36hpf,sa_outlier_flag,11,0.22
Keyence,20240813_36hpf,viability_dead_flag,0,0.0
Keyence,20250612_24hpf_ctrl_atf6,discontinuous_mask_flag,0,0.0
Keyence,20250612_24hpf_ctrl_atf6,edge_flag,0,0.0
Keyence,20250612_24hpf_ctrl_atf6,focus_flag,1,0.010309278350515464
Keyence,20250612_24hpf_ctrl_atf6,motion_blur_flag,0,0.0
Keyence,20250612_24hpf_ctrl_atf6,overlapping_mask_flag,2,0.020618556701030927
Keyence,20250612_24hpf_ctrl_atf6,persistence_dead_flag,0,0.0
Keyence,20250612_24hpf_ctrl_atf6,sa_outlier_flag,2,0.020618556701030927
Keyence,20250612_24hpf_ctrl_atf6,viability_dead_flag,0,0.0
Keyence,20250612_24hpf_wfs1_ctcf,discontinuous_mask_flag,0,0.0
Keyence,20250612_24hpf_wfs1_ctcf,edge_flag,0,0.0
Keyence,20250612_24hpf_wfs1_ctcf,focus_flag,2,0.020833333333333332
Keyence,20250612_24hpf_wfs1_ctcf,motion_blur_flag,1,0.010416666666666666
Keyence,20250612_24hpf_wfs1_ctcf,overlapping_mask_flag,0,0.0
Keyence,20250612_24hpf_wfs1_ctcf,persistence_dead_flag,0,0.0
Keyence,20250612_24hpf_wfs1_ctcf,sa_outlier_flag,7,0.07291666666666667
Keyence,20250612_24hpf_wfs1_ctcf,viability_dead_flag,1,0.010416666666666666
Keyence,20250612_30hpf_ctrl_atf6,discontinuous_mask_flag,0,0.0
Keyence,20250612_30hpf_ctrl_atf6,edge_flag,0,0.0
Keyence,20250612_30hpf_ctrl_atf6,focus_flag,2,0.020618556701030927
Keyence,20250612_30hpf_ctrl_atf6,motion_blur_flag,1,0.010309278350515464
Keyence,20250612_30hpf_ctrl_atf6,overlapping_mask_flag,2,0.020618556701030927
Keyence,20250612_30hpf_ctrl_atf6,persistence_dead_flag,0,0.0
Keyence,20250612_30hpf_ctrl_atf6,sa_outlier_flag,23,0.23711340206185566
Keyence,20250612_30hpf_ctrl_atf6,viability_dead_flag,0,0.0
Keyence,20250612_30hpf_wfs1_ctcf,discontinuous_mask_flag,0,0.0
Keyence,20250612_30hpf_wfs1_ctcf,edge_flag,0,0.0
Keyence,20250612_30hpf_wfs1_ctcf,focus_flag,1,0.010309278350515464
Keyence,20250612_30hpf_wfs1_ctcf,motion_blur_flag,0,0.0
Keyence,20250612_30hpf_wfs1_ctcf,overlapping_mask_flag,2,0.020618556701030927
Keyence,20250612_30hpf_wfs1_ctcf,persistence_dead_flag,0,0.0
Keyence,20250612_30hpf_wfs1_ctcf,sa_outlier_flag,21,0.21649484536082475
Keyence,20250612_30hpf_wfs1_ctcf,viability_dead_flag,1,0.010309278350515464
Keyence,20250612_36hpf_ctrl_atf6,discontinuous_mask_flag,0,0.0
Keyence,20250612_36hpf_ctrl_atf6,edge_flag,1,0.00980392156862745
Keyence,20250612_36hpf_ctrl_atf6,focus_flag,3,0.029411764705882353
Keyence,20250612_36hpf_ctrl_atf6,motion_blur_flag,1,0.00980392156862745
Keyence,20250612_36hpf_ctrl_atf6,overlapping_mask_flag,6,0.058823529411764705
Keyence,20250612_36hpf_ctrl_atf6,persistence_dead_flag,0,0.0
Keyence,20250612_36hpf_ctrl_atf6,sa_outlier_flag,19,0.18627450980392157
Keyence,20250612_36hpf_ctrl_atf6,viability_dead_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,discontinuous_mask_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,edge_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,focus_flag,1,0.010309278350515464
Keyence,20250612_36hpf_wfs1_ctcf,motion_blur_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,overlapping_mask_flag,2,0.020618556701030927
Keyence,20250612_36hpf_wfs1_ctcf,persistence_dead_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,sa_outlier_flag,24,0.24742268041237114
Keyence,20250612_36hpf_wfs1_ctcf,viability_dead_flag,0,0.0
Keyence,20260324_cep290_24hpf_plate01,discontinuous_mask_flag,1,0.009900990099009901
Keyence,20260324_cep290_24hpf_plate01,edge_flag,1,0.009900990099009901
Keyence,20260324_cep290_24hpf_plate01,focus_flag,4,0.039603960396039604
Keyence,20260324_cep290_24hpf_plate01,motion_blur_flag,1,0.009900990099009901
Keyence,20260324_cep290_24hpf_plate01,overlapping_mask_flag,4,0.039603960396039604
Keyence,20260324_cep290_24hpf_plate01,persistence_dead_flag,0,0.0
