scope,experiment_id,timepoint_count,passing_timepoint_count,timepoint_pass_rate,well_count,wells_with_any_pass,zero_pass_well_count,well_any_pass_rate,physical_embryo_id_count,embryos_with_any_pass,zero_pass_embryo_count,embryo_any_pass_rate,verdict_mismatch_count
Keyence,20230531,7846,4044,0.5154218710170788,83,81,2,0.9759036144578314,124,92,32,0.7419354838709677,0
Keyence,20230602,8998,3447,0.3830851300288953,79,78,1,0.9873417721518988,95,82,13,0.8631578947368421,0
Keyence,20230613,5421,3611,0.6661132632355654,75,74,1,0.9866666666666667,83,74,9,0.891566265060241,0
Keyence,20230615,4216,2767,0.6563092979127134,79,78,1,0.9873417721518988,85,78,7,0.9176470588235294,0
Keyence,20240813_24hpf,48,47,0.9791666666666666,48,47,1,0.9791666666666666,48,47,1,0.9791666666666666,0
Keyence,20240813_30hpf,50,38,0.76,48,38,10,0.7916666666666666,50,38,12,0.76,0
Keyence,20240813_36hpf,50,38,0.76,48,38,10,0.7916666666666666,50,38,12,0.76,0
Keyence,20250612_24hpf_ctrl_atf6,97,93,0.9587628865979382,96,93,3,0.96875,97,93,4,0.9587628865979382,0
Keyence,20250612_24hpf_wfs1_ctcf,96,88,0.9166666666666666,95,88,7,0.9263157894736842,96,88,8,0.9166666666666666,0
Keyence,20250612_30hpf_ctrl_atf6,97,72,0.7422680412371134,95,72,23,0.7578947368421053,97,72,25,0.7422680412371134,0
Keyence,20250612_30hpf_wfs1_ctcf,97,74,0.7628865979381443,96,74,22,0.7708333333333334,97,74,23,0.7628865979381443,0
Keyence,20250612_36hpf_ctrl_atf6,102,81,0.7941176470588235,96,81,15,0.84375,102,81,21,0.7941176470588235,0
Keyence,20250612_36hpf_wfs1_ctcf,97,72,0.7422680412371134,96,72,24,0.75,97,72,25,0.7422680412371134,0
Keyence,20260324_cep290_24hpf_plate01,101,91,0.900990099009901,95,91,4,0.9578947368421052,101,91,10,0.900990099009901,0
Keyence,20260324_cep290_24hpf_plate02,101,74,0.7326732673267327,94,74,20,0.7872340425531915,101,74,27,0.7326732673267327,0
Keyence,20260324_cep290_30hpf_plate01,98,91,0.9285714285714286,95,91,4,0.9578947368421052,98,91,7,0.9285714285714286,0
Keyence,20260324_cep290_30hpf_plate02,72,55,0.7638888888888888,64,55,9,0.859375,72,55,17,0.7638888888888888,0
Keyence,20260331_b9d2_18hpf_plate02,70,45,0.6428571428571429,61,44,17,0.7213114754098361,70,45,25,0.6428571428571429,0
Keyence,20260414_b9d2_14hpf_plate01,107,97,0.9065420560747663,96,96,0,1.0,107,97,10,0.9065420560747663,0
Keyence,20260414_b9d2_30hpf_plate01,106,93,0.8773584905660378,96,92,4,0.9583333333333334,106,93,13,0.8773584905660378,0
Keyence,20260414_b9d2_30hpf_plate02,72,59,0.8194444444444444,61,57,4,0.9344262295081968,72,59,13,0.8194444444444444,0
Keyence,20260415_b9d2_30to48hpf_plate01_t02,109,91,0.8348623853211009,96,91,5,0.9479166666666666,109,91,18,0.8348623853211009,0
Keyence,20260415_b9d2_30to48hpf_plate02_t02,58,42,0.7241379310344828,51,41,10,0.803921568627451,58,42,16,0.7241379310344828,0
Keyence,20260702_hotchem_24hpf_plate01,104,89,0.8557692307692307,96,89,7,0.9270833333333334,104,89,15,0.8557692307692307,0
Keyence,20260702_hotchem_24hpf_plate02,117,94,0.8034188034188035,96,93,3,0.96875,117,94,23,0.8034188034188035,0
Keyence,20260702_hotchem_30hpf_plate01,124,79,0.6370967741935484,95,79,16,0.8315789473684211,124,79,45,0.6370967741935484,0
Keyence,20260702_hotchem_30hpf_plate02,107,78,0.7289719626168224,92,78,14,0.8478260869565217,107,78,29,0.7289719626168224,0
Keyence,20260702_hotchem_36hpf_plate01,101,84,0.8316831683168316,96,84,12,0.875,101,84,17,0.8316831683168316,0
Keyence,20260702_hotchem_36hpf_plate02,99,87,0.8787878787878788,96,87,9,0.90625,99,87,12,0.8787878787878788,0
YX1,20250501,24718,2319,0.09381827008657659,96,78,18,0.8125,142,78,64,0.5492957746478874,0
YX1,20250512,24569,7108,0.2893076641295942,96,87,9,0.90625,126,91,35,0.7222222222222222,0
YX1,20250515_part2,3510,1351,0.3849002849002849,96,64,32,0.6666666666666666,130,65,65,0.5,0
YX1,20250519,4179,2549,0.6099545345776501,79,79,0,1.0,82,79,3,0.9634146341463414,0
YX1,20250711,19723,10419,0.5282664908989505,93,86,7,0.9247311827956989,111,86,25,0.7747747747747747,0
YX1,20250912,15572,2778,0.17839712304135627,95,89,6,0.9368421052631579,138,113,25,0.8188405797101449,0
YX1,20251017_part1,6794,3903,0.574477480129526,95,94,1,0.9894736842105263,108,94,14,0.8703703703703703,0
YX1,20251112,6991,3418,0.4889143184093835,96,88,8,0.9166666666666666,186,88,98,0.4731182795698925,0
YX1,20251119,10440,3477,0.33304597701149424,30,30,0,1.0,30,30,0,1.0,0
YX1,20251205,12291,6035,0.49100968188105115,96,87,9,0.90625,107,87,20,0.8130841121495327,0
YX1,20251207_pbx,14760,7240,0.4905149051490515,96,89,7,0.9270833333333334,118,89,29,0.7542372881355932,0
