scope,failure_combination,timepoint_count,rate_all_timepoints,share_of_failed_timepoints,flag_count
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|focus_flag,66733,0.14795460239403863,0.23711607612387897,4
All,sa_outlier_flag,40025,0.08873994816389787,0.14221705822993505,1
All,sa_outlier_flag|motion_blur_flag,19010,0.042147318290960606,0.06754644039852756,2
All,sa_outlier_flag|edge_flag|focus_flag,17210,0.03815651487571973,0.06115067013459543,3
All,motion_blur_flag,16144,0.03579307240869374,0.05736295285606674,1
All,focus_flag,13376,0.02965610360125666,0.047527679472420016,1
All,sa_outlier_flag|focus_flag,12785,0.028345789813252573,0.04542773490242897,2
All,edge_flag,9749,0.02161463471954629,0.0346402023905968,1
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag|focus_flag,7920,0.017559535027059866,0.028141389161301326,5
All,persistence_dead_flag,7400,0.016406636262656944,0.02629372219616538,1
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|focus_flag|motion_blur_flag,6129,0.01358868562889519,0.021777597748688867,5
All,viability_dead_flag|persistence_dead_flag|focus_flag,5990,0.013280506920718256,0.02128370215608522,3
All,overlapping_mask_flag,5363,0.01189037706440935,0.019055842180815533,1
All,sa_outlier_flag|overlapping_mask_flag,5269,0.011681968441613438,0.018721840844810187,2
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,3403,0.007544835567813727,0.01209155900453389,6
All,sa_outlier_flag|edge_flag,3273,0.007256610876712997,0.011629642263249904,2
All,edge_flag|focus_flag,3067,0.006799885596968763,0.010897681888599894,2
All,persistence_dead_flag|sa_outlier_flag,2970,0.006584825635147449,0.010553020935487998,2
All,viability_dead_flag|sa_outlier_flag|focus_flag,2694,0.005972902444810514,0.009572336161685072,3
All,viability_dead_flag|focus_flag,2070,0.00458942392752701,0.007355135803521938,2
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag,1844,0.004088356387613433,0.006552111314828238,3
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|focus_flag,1676,0.003715881402190951,0.00595517275686124,5
All,sa_outlier_flag|overlapping_mask_flag|focus_flag,1269,0.002813516407744819,0.0045090180360721445,3
All,persistence_dead_flag|focus_flag,1236,0.002740351678465403,0.004391762247900055,2
All,edge_flag|motion_blur_flag,1120,0.002483166569483213,0.003979590386446652,2
All,sa_outlier_flag|overlapping_mask_flag|motion_blur_flag,1098,0.0024343900832969356,0.003901419860998593,3
All,overlapping_mask_flag|motion_blur_flag,1080,0.002394482049144527,0.0038374621583592717,2
All,viability_dead_flag,1058,0.0023457055629582495,0.0037592916329112127,1
All,viability_dead_flag|persistence_dead_flag,957,0.0021217771491030667,0.003400417856990577,2
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|focus_flag,936,0.0020752177759252566,0.003325800537244702,5
All,persistence_dead_flag|sa_outlier_flag|focus_flag,881,0.001953276560459563,0.003130374223624554,3
All,persistence_dead_flag|motion_blur_flag,867,0.0019222369783410231,0.003080629343793971,2
All,sa_outlier_flag|focus_flag|motion_blur_flag,866,0.0019200198653325559,0.0030770761380917865,3
All,viability_dead_flag|edge_flag|focus_flag,828,0.001835769571010804,0.002942054321408775,3
All,sa_outlier_flag|edge_flag|motion_blur_flag,817,0.0018113813279176654,0.0029029690586847455,3
All,discontinuous_mask_flag,671,0.0014876828286814606,0.002384201026165807,1
All,viability_dead_flag|sa_outlier_flag|edge_flag|focus_flag,621,0.001376827178258103,0.0022065407410565814,4
All,viability_dead_flag|persistence_dead_flag|edge_flag|focus_flag,603,0.0013369191441056942,0.0021425830384172602,4
All,viability_dead_flag|sa_outlier_flag,558,0.0012371490587246721,0.001982688781818957,2
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,535,0.0011861554595299277,0.0019009650506687133,6
All,persistence_dead_flag|sa_outlier_flag|motion_blur_flag,518,0.001148464538385986,0.0018405605537315766,3
All,viability_dead_flag|persistence_dead_flag|overlapping_mask_flag|focus_flag,474,0.0010509115660134313,0.0016842195028354582,4
All,sa_outlier_flag|edge_flag|overlapping_mask_flag|focus_flag,471,0.00104426022698803,0.0016735598857289045,4
All,persistence_dead_flag|overlapping_mask_flag,458,0.001015437757877957,0.001627368211600506,2
All,sa_outlier_flag|discontinuous_mask_flag,449,0.0009954837408017523,0.0015953893602808453,2
All,discontinuous_mask_flag|overlapping_mask_flag,377,0.0008358516041921173,0.0013395585497235605,2
All,persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag,375,0.000831417378175183,0.0013324521383191916,3
All,edge_flag|overlapping_mask_flag,355,0.0007870751180058398,0.0012613880242755013,2
All,sa_outlier_flag|discontinuous_mask_flag|motion_blur_flag,301,0.0006673510155486136,0.0010695149163575377,3
All,focus_flag|motion_blur_flag,247,0.0005476269130913872,0.0008776418084395742,2
All,sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag,239,0.00052989000902365,0.0008492161628220981,3
All,viability_dead_flag|sa_outlier_flag|focus_flag|motion_blur_flag,238,0.0005276728960151828,0.0008456629571199136,4
All,overlapping_mask_flag|focus_flag,230,0.0005099359919474455,0.0008172373115024375,2
All,sa_outlier_flag|discontinuous_mask_flag|focus_flag,209,0.0004633766187696353,0.0007426199917565628,3
All,sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,207,0.000458942392752701,0.0007355135803521937,4
All,viability_dead_flag|persistence_dead_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,199,0.00044120548868496377,0.0007070879347347177,5
All,persistence_dead_flag|edge_flag|focus_flag,198,0.0004389883756764966,0.0007035347290325331,3
All,sa_outlier_flag|edge_flag|focus_flag|motion_blur_flag,171,0.0003791263244478834,0.0006075981750735514,4
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag,168,0.000372474985422482,0.0005969385579669978,4
All,persistence_dead_flag|sa_outlier_flag|edge_flag|focus_flag,159,0.00035252096834627756,0.0005649597066473372,4
All,sa_outlier_flag|edge_flag|overlapping_mask_flag,159,0.00035252096834627756,0.0005649597066473372,3
All,discontinuous_mask_flag|motion_blur_flag,149,0.00033034983826160603,0.0005294276496254921,2
All,viability_dead_flag|motion_blur_flag,148,0.00032813272525313887,0.0005258744439233076,2
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|motion_blur_flag,143,0.0003170471602108031,0.000508108415412385,4
All,viability_dead_flag|edge_flag,143,0.0003170471602108031,0.000508108415412385,2
All,viability_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,142,0.00031483004720233595,0.0005045552097102005,5
All,viability_dead_flag|sa_outlier_flag|edge_flag|focus_flag|motion_blur_flag,139,0.0003081787081769345,0.000493895592603647,5
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|focus_flag|motion_blur_flag,126,0.0002793562390668615,0.00044770391847524836,6
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|focus_flag|motion_blur_flag,125,0.00027713912605839433,0.00044415071277306386,6
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag|focus_flag,122,0.00027048778703299284,0.00043349109566651035,4
All,persistence_dead_flag|sa_outlier_flag|edge_flag,121,0.0002682706740245257,0.00042993788996432584,3
All,viability_dead_flag|persistence_dead_flag|focus_flag|motion_blur_flag,120,0.00026605356101605857,0.0004263846842621413,4
All,persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag|focus_flag,120,0.00026605356101605857,0.0004263846842621413,4
All,viability_dead_flag|focus_flag|motion_blur_flag,117,0.0002594022219906571,0.00041572506715558777,3
All,sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,111,0.00024609954393985415,0.0003944058329424807,5
All,viability_dead_flag|sa_outlier_flag|overlapping_mask_flag|focus_flag,108,0.0002394482049144527,0.00038374621583592717,4
All,viability_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,107,0.00023723109190598553,0.00038019301013374266,6
All,discontinuous_mask_flag|focus_flag,104,0.00023057975288058406,0.00036953339302718915,2
All,viability_dead_flag|persistence_dead_flag|motion_blur_flag,100,0.00022171130084671547,0.0003553205702184511,3
All,viability_dead_flag|persistence_dead_flag|discontinuous_mask_flag|focus_flag,96,0.00021284284881284684,0.00034110774740971306,4
All,viability_dead_flag|sa_outlier_flag|edge_flag,95,0.00021062573580437968,0.00033755454170752855,3
All,discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,92,0.0002039743967789782,0.000326894924600975,3
All,persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag|motion_blur_flag,89,0.00019732305775357675,0.00031623530749442147,4
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|overlapping_mask_flag|focus_flag,88,0.00019510594474510961,0.00031268210179223696,6
All,viability_dead_flag|sa_outlier_flag|motion_blur_flag,85,0.00018845460571970815,0.00030202248468568345,3
All,persistence_dead_flag|overlapping_mask_flag|focus_flag,85,0.00018845460571970815,0.00030202248468568345,3
All,persistence_dead_flag|edge_flag,81,0.00017958615368583952,0.0002878096618769454,2
All,viability_dead_flag|persistence_dead_flag|overlapping_mask_flag,81,0.00017958615368583952,0.0002878096618769454,3
All,persistence_dead_flag|overlapping_mask_flag|motion_blur_flag,80,0.00017736904067737236,0.00028425645617476087,3
All,viability_dead_flag|sa_outlier_flag|overlapping_mask_flag,65,0.00014411234555036505,0.00023095837064199322,3
All,persistence_dead_flag|sa_outlier_flag|edge_flag|motion_blur_flag,63,0.00013967811953343075,0.00022385195923762418,4
All,viability_dead_flag|discontinuous_mask_flag|focus_flag,62,0.00013746100652496358,0.00022029875353543968,3
All,viability_dead_flag|sa_outlier_flag|edge_flag|motion_blur_flag,60,0.00013302678050802928,0.00021319234213107064,4
All,sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,53,0.0001175069894487592,0.00018831990221577908,4
All,persistence_dead_flag|discontinuous_mask_flag|overlapping_mask_flag,51,0.00011307276343182488,0.00018121349081141004,3
All,persistence_dead_flag|sa_outlier_flag|focus_flag|motion_blur_flag,50,0.00011085565042335773,0.00017766028510922554,4
All,edge_flag|discontinuous_mask_flag,48,0.00010642142440642342,0.00017055387370485653,2
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag,44,9.755297237255481e-05,0.00015634105089611848,3
