scope,flag,triggered_timepoint_count,trigger_rate_all_timepoints,share_of_failed_timepoints,exclusive_timepoint_count,exclusive_rate_all_timepoints,dataset_count_triggered,well_count_triggered,embryo_count_triggered
All,sa_outlier_flag,204909,0.4543064094519962,0.728083827228926,40025,0.08873994816389787,54,2384,3516
All,focus_flag,156238,0.3463973022168913,0.5551457524979037,13376,0.02965610360125666,50,1780,2678
All,persistence_dead_flag,115007,0.25498351576478206,0.40864352819113403,7400,0.016406636262656944,29,879,1409
All,viability_dead_flag,108447,0.24043925442923753,0.38533449878480364,1058,0.0023457055629582495,34,1267,1888
All,motion_blur_flag,54658,0.12118296281679773,0.19421111727000098,16144,0.03579307240869374,47,1820,2591
All,edge_flag,41787,0.09264650128481698,0.14847780667718416,9749,0.02161463471954629,37,1120,1276
All,overlapping_mask_flag,31588,0.07003416571146048,0.11223866172060433,5363,0.01189037706440935,45,275,649
All,discontinuous_mask_flag,6941,0.01538898139177052,0.024662800778862688,671,0.0014876828286814606,32,473,597
Keyence,sa_outlier_flag,10025,0.34856228921108445,0.7687883435582822,2859,0.09940544487326589,28,520,603
Keyence,focus_flag,7000,0.2433851395987622,0.5368098159509203,835,0.029032370223566636,24,267,309
Keyence,persistence_dead_flag,5819,0.20232258961788532,0.44624233128834356,565,0.019644657696185806,4,99,106
Keyence,viability_dead_flag,5506,0.19143979694725496,0.422239263803681,42,0.0014603108375925732,9,148,166
Keyence,edge_flag,1486,0.05166718820625152,0.11395705521472392,159,0.005528319599457598,15,93,99
Keyence,motion_blur_flag,554,0.019262195333959183,0.042484662576687114,277,0.009631097666979591,22,171,188
Keyence,overlapping_mask_flag,436,0.01515941726643719,0.03343558282208589,134,0.004659086958033448,22,49,98
Keyence,discontinuous_mask_flag,122,0.004241855290149856,0.009355828220858895,19,0.0006606168074823546,6,41,43
YX1,sa_outlier_flag,194884,0.46150858680104956,0.726106201284669,37166,0.08801352669817844,26,1864,2913
YX1,focus_flag,149238,0.35341340734495924,0.5560366026319319,12541,0.029698585759077002,26,1513,2369
YX1,persistence_dead_flag,109188,0.25857022421354753,0.40681679309676744,6835,0.01618609629720846,25,780,1303
YX1,viability_dead_flag,102941,0.2437765821405905,0.38354148347963457,1016,0.002406009339863028,25,1119,1722
YX1,motion_blur_flag,54104,0.12812473358656423,0.2015827359573168,15867,0.03757495097992782,25,1649,2403
YX1,edge_flag,40301,0.09543758110809045,0.15015499485834363,9590,0.022710265324100826,22,1027,1177
YX1,overlapping_mask_flag,31152,0.0737716564521782,0.11606730353656537,5229,0.012382896494235997,23,226,551
YX1,discontinuous_mask_flag,6819,0.016148206386344476,0.025406488919357963,652,0.0015440138677073761,26,432,554
