scope,experiment_id,qc_path,qc_present_at_snapshot,qc_size_bytes,qc_mtime,read_status,read_error,raw_row_count,analyzed_row_count
Keyence,20260702_hotchem_24hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_24hpf_plate01/snip_qc/20260702_hotchem_24hpf_plate01_snip_qc.parquet,True,15711,2026-07-27T20:24:39.191491-07:00,read,,104,104
Keyence,20260702_hotchem_24hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_24hpf_plate02/snip_qc/20260702_hotchem_24hpf_plate02_snip_qc.parquet,True,16032,2026-07-27T21:36:30.355536-07:00,read,,117,117
Keyence,20260702_hotchem_30hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_30hpf_plate01/snip_qc/20260702_hotchem_30hpf_plate01_snip_qc.parquet,True,16164,2026-07-27T22:34:20.246508-07:00,read,,124,124
Keyence,20260702_hotchem_30hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_30hpf_plate02/snip_qc/20260702_hotchem_30hpf_plate02_snip_qc.parquet,True,15816,2026-07-28T00:07:10.590937-07:00,read,,107,107
Keyence,20260702_hotchem_36hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_36hpf_plate01/snip_qc/20260702_hotchem_36hpf_plate01_snip_qc.parquet,True,15663,2026-07-27T23:26:23.627404-07:00,read,,101,101
Keyence,20260702_hotchem_36hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_36hpf_plate02/snip_qc/20260702_hotchem_36hpf_plate02_snip_qc.parquet,True,15655,2026-07-28T00:27:27.441546-07:00,read,,99,99
Keyence,20250612_24hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250612_24hpf_ctrl_atf6/snip_qc/20250612_24hpf_ctrl_atf6_snip_qc.parquet,True,15322,2026-07-27T12:36:03.037094-07:00,read,,97,97
Keyence,20250612_24hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250612_24hpf_wfs1_ctcf/snip_qc/20250612_24hpf_wfs1_ctcf_snip_qc.parquet,True,15282,2026-07-27T13:40:24.159825-07:00,read,,96,96
Keyence,20250612_30hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250612_30hpf_ctrl_atf6/snip_qc/20250612_30hpf_ctrl_atf6_snip_qc.parquet,True,15418,2026-07-27T13:42:16.557820-07:00,read,,97,97
Keyence,20250612_30hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250612_30hpf_wfs1_ctcf/snip_qc/20250612_30hpf_wfs1_ctcf_snip_qc.parquet,True,15360,2026-07-27T12:29:15.357106-07:00,read,,97,97
Keyence,20250612_36hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250612_36hpf_ctrl_atf6/snip_qc/20250612_36hpf_ctrl_atf6_snip_qc.parquet,True,15501,2026-07-27T15:23:38.485350-07:00,read,,102,102
Keyence,20250612_36hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250612_36hpf_wfs1_ctcf/snip_qc/20250612_36hpf_wfs1_ctcf_snip_qc.parquet,True,15372,2026-07-27T15:29:25.053071-07:00,read,,97,97
Keyence,20250529_24hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250529_24hpf_ctrl_atf6/snip_qc/20250529_24hpf_ctrl_atf6_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250529_24hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250529_24hpf_wfs1_ctcf/snip_qc/20250529_24hpf_wfs1_ctcf_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250529_30hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250529_30hpf_ctrl_atf6/snip_qc/20250529_30hpf_ctrl_atf6_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250529_30hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250529_30hpf_wfs1_ctcf/snip_qc/20250529_30hpf_wfs1_ctcf_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250529_36hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250529_36hpf_ctrl_atf6/snip_qc/20250529_36hpf_ctrl_atf6_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250529_36hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250529_36hpf_wfs1_ctcf/snip_qc/20250529_36hpf_wfs1_ctcf_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260324_cep290_18hpf_24hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_18hpf_24hpf_plate02/snip_qc/20260324_cep290_18hpf_24hpf_plate02_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260324_cep290_18hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_18hpf_plate01/snip_qc/20260324_cep290_18hpf_plate01_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260324_cep290_24hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_24hpf_plate01/snip_qc/20260324_cep290_24hpf_plate01_snip_qc.parquet,True,15681,2026-07-28T03:56:33.615401-07:00,read,,101,101
Keyence,20260324_cep290_24hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_24hpf_plate02/snip_qc/20260324_cep290_24hpf_plate02_snip_qc.parquet,True,15682,2026-07-28T04:23:19.142016-07:00,read,,101,101
Keyence,20260324_cep290_30hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_30hpf_plate01/snip_qc/20260324_cep290_30hpf_plate01_snip_qc.parquet,True,15541,2026-07-28T04:23:23.025645-07:00,read,,98,98
Keyence,20260324_cep290_30hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_30hpf_plate02/snip_qc/20260324_cep290_30hpf_plate02_snip_qc.parquet,True,14934,2026-07-28T04:48:12.727623-07:00,read,,72,72
Keyence,20260415_cep290_18hpf_plate03,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260415_cep290_18hpf_plate03/snip_qc/20260415_cep290_18hpf_plate03_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260415_cep290_30to48hpf_plate02_t01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260415_cep290_30to48hpf_plate02_t01/snip_qc/20260415_cep290_30to48hpf_plate02_t01_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260416_cep290_30to48hpf_plate01_t02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260416_cep290_30to48hpf_plate01_t02/snip_qc/20260416_cep290_30to48hpf_plate01_t02_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260416_cep290_30to48hpf_plate02_t02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260416_cep290_30to48hpf_plate02_t02/snip_qc/20260416_cep290_30to48hpf_plate02_t02_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260331_b9d2_18hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260331_b9d2_18hpf_plate01/snip_qc/20260331_b9d2_18hpf_plate01_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260331_b9d2_18hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260331_b9d2_18hpf_plate02/snip_qc/20260331_b9d2_18hpf_plate02_snip_qc.parquet,True,14769,2026-07-28T06:18:55.257161-07:00,read,,70,70
Keyence,20260414_b9d2_14hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260414_b9d2_14hpf_plate01/snip_qc/20260414_b9d2_14hpf_plate01_snip_qc.parquet,True,15625,2026-07-28T06:44:59.346920-07:00,read,,107,107
