scope,policy,exclusion_flags,passing_timepoint_count,timepoint_pass_rate,well_count,wells_with_any_pass,zero_pass_well_count,well_any_pass_rate,physical_embryo_id_count,embryos_with_any_pass,zero_pass_embryo_count,embryo_any_pass_rate
Keyence,strict_current,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,15721,0.546608254233163,2414,2156,258,0.8931234465617233,2667,2178,489,0.8166479190101237
Keyence,death_only,viability_dead_flag|persistence_dead_flag,22410,0.7791801397726087,2414,2409,5,0.9979287489643744,2667,2652,15,0.9943757030371203
Keyence,death_and_mask_geometry,viability_dead_flag|persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,20898,0.7266089496192761,2414,2353,61,0.9747307373653686,2667,2528,139,0.9478815148106486
Keyence,mask_geometry_only,edge_flag|discontinuous_mask_flag|overlapping_mask_flag,26746,0.9299398491012134,2414,2358,56,0.9768019884009942,2667,2543,124,0.9535058117735283
Keyence,ignore_surface_area,viability_dead_flag|persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,18580,0.6460136991064288,2414,2311,103,0.9573322286661143,2667,2389,278,0.8957630296212974
Keyence,ignore_focus_motion,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,16847,0.5857584924029067,2414,2180,234,0.9030654515327258,2667,2228,439,0.8353955755530559
YX1,strict_current,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,153880,0.36440621773437276,2389,2226,163,0.9317706153202177,3786,3024,762,0.7987321711568938
YX1,death_only,viability_dead_flag|persistence_dead_flag,303950,0.7197899004442592,2389,2360,29,0.9878610297195479,3786,3705,81,0.9786053882725833
YX1,death_and_mask_geometry,viability_dead_flag|persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,251156,0.5947674033096837,2389,2321,68,0.9715362076182503,3786,3434,352,0.9070258848388801
YX1,mask_geometry_only,edge_flag|discontinuous_mask_flag|overlapping_mask_flag,348252,0.8247023273877748,2389,2355,34,0.9857681038091252,3786,3516,270,0.9286846275752774
YX1,ignore_surface_area,viability_dead_flag|persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,191046,0.45241974443255123,2389,2279,110,0.953955629970699,3786,3271,515,0.863972530375066
YX1,ignore_focus_motion,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,182521,0.4322315263003344,2389,2263,126,0.9472582670573462,3786,3119,667,0.823824617010037
All,strict_current,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,169601,0.3760245833490379,4803,4382,421,0.9123464501353321,6453,5202,1251,0.806136680613668
All,death_only,viability_dead_flag|persistence_dead_flag,326360,0.7235770014433406,4803,4769,34,0.9929210909848012,6453,6357,96,0.9851231985123199
All,death_and_mask_geometry,viability_dead_flag|persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,272054,0.6031744624055233,4803,4674,129,0.9731417863835103,6453,5962,491,0.9239113590578025
All,mask_geometry_only,edge_flag|discontinuous_mask_flag|overlapping_mask_flag,374998,0.831412943949166,4803,4713,90,0.981261711430356,6453,6059,394,0.9389431272276461
All,ignore_surface_area,viability_dead_flag|persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,209626,0.46476453151293573,4803,4590,213,0.9556527170518426,6453,5660,793,0.8771114210444755
All,ignore_focus_motion,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,199368,0.44202138627207965,4803,4443,360,0.9250468457214241,6453,5347,1106,0.8286068495273516
