scope,corpus_dataset_id,pairing_status,linked_well_or_embryo_count,total_well_or_embryo_count,linked_gross_embryo_timepoints,collection_name,sequencing_modality,sequencing_dataset_id,pairing_granularity,evidence_source,curator_notes
Keyence,20230525,unknown,0,96,0.0,,,,,,
Keyence,20230531,unknown,0,96,0.0,,,,,,
Keyence,20230602,unknown,0,96,0.0,,,,,,
Keyence,20230608,unknown,0,1,0.0,,,,,,
Keyence,20230613,unknown,0,96,0.0,,,,,,
Keyence,20230615,unknown,0,96,0.0,,,,,,
Keyence,20230620,unknown,0,32,0.0,,,,,,
Keyence,20230622,unknown,0,46,0.0,,,,,,
Keyence,20230627,unknown,0,73,0.0,,,,,,
Keyence,20230629,unknown,0,67,0.0,,,,,,
Keyence,20230830,unknown,0,1,0.0,,,,,,
Keyence,20230831,unknown,0,64,0.0,,,,,,
Keyence,20231207,unknown,0,1,0.0,,,,,,
Keyence,20231208,unknown,0,1,0.0,,,,,,
Keyence,20240507,unknown,0,1,0.0,,,,,,
Keyence,20240509_18ss,unknown,0,24,0.0,,,,,,
Keyence,20240509_24hpf,unknown,0,32,0.0,,,,,,
Keyence,20240510,unknown,0,10,0.0,,,,,,
Keyence,20240717,unknown,0,34,0.0,,,,,,
Keyence,20240718,unknown,0,65,0.0,,,,,,
Keyence,20240724,unknown,0,28,0.0,,,,,,
Keyence,20240725,unknown,0,30,0.0,,,,,,
Keyence,20240726,unknown,0,31,0.0,,,,,,
Keyence,20240813_24hpf,unknown,0,96,0.0,,,,,,
Keyence,20240813_30hpf,unknown,0,96,0.0,,,,,,
Keyence,20240813_36hpf,unknown,0,96,0.0,,,,,,
Keyence,20240813_extras,unknown,0,96,0.0,,,,,,
Keyence,20250529_24hpf_ctrl_atf6,unknown,0,1,0.0,,,,,,
Keyence,20250529_24hpf_wfs1_ctcf,unknown,0,1,0.0,,,,,,
Keyence,20250529_30hpf_ctrl_atf6,unknown,0,1,0.0,,,,,,
Keyence,20250529_30hpf_wfs1_ctcf,unknown,0,1,0.0,,,,,,
Keyence,20250529_36hpf_ctrl_atf6,unknown,0,1,0.0,,,,,,
Keyence,20250529_36hpf_wfs1_ctcf,unknown,0,1,0.0,,,,,,
Keyence,20250612_24hpf_ctrl_atf6,unknown,0,96,0.0,,,,,,
Keyence,20250612_24hpf_wfs1_ctcf,unknown,0,96,0.0,,,,,,
Keyence,20250612_30hpf_ctrl_atf6,unknown,0,96,0.0,,,,,,
Keyence,20250612_30hpf_wfs1_ctcf,unknown,0,96,0.0,,,,,,
Keyence,20250612_36hpf_ctrl_atf6,unknown,0,96,0.0,,,,,,
Keyence,20250612_36hpf_wfs1_ctcf,unknown,0,96,0.0,,,,,,
Keyence,20250622_chem_28C_T00_1425,unknown,0,82,0.0,,,,,,
Keyence,20250622_chem_28C_T01_1658,unknown,0,89,0.0,,,,,,
Keyence,20250622_chem_34C_T00_1256,unknown,0,90,0.0,,,,,,
Keyence,20250622_chem_34C_T01_1632,unknown,0,87,0.0,,,,,,
Keyence,20250622_chem_35C_T00_1223_check,unknown,0,82,0.0,,,,,,
Keyence,20250622_chem_35C_T01_1605,unknown,0,81,0.0,,,,,,
Keyence,20250623_chem_28C_T02_1259,unknown,0,84,0.0,,,,,,
Keyence,20250623_chem_34C_T02_1231,unknown,0,83,0.0,,,,,,
Keyence,20250623_chem_35C_T02_1204,unknown,0,81,0.0,,,,,,
Keyence,20250624_chem02_28C_T00_1356,unknown,0,87,0.0,,,,,,
Keyence,20250624_chem02_28C_T01_1808,unknown,0,89,0.0,,,,,,
Keyence,20250624_chem02_34C_T00_1243,unknown,0,80,0.0,,,,,,
Keyence,20250624_chem02_34C_T01_1739,unknown,0,81,0.0,,,,,,
Keyence,20250624_chem02_35C_T00_1216,unknown,0,80,0.0,,,,,,
Keyence,20250624_chem02_35C_T01_1711,unknown,0,81,0.0,,,,,,
Keyence,20250625_chem02_28C_T02_1332,unknown,0,91,0.0,,,,,,
Keyence,20250625_chem02_34C_T02_1301,unknown,0,83,0.0,,,,,,
Keyence,20250625_chem02_35C_T02_1228,unknown,0,80,0.0,,,,,,
Keyence,20250703_chem3_28C_T00_1325,unknown,0,56,0.0,,,,,,
Keyence,20250703_chem3_34C_T00_1131,unknown,0,56,0.0,,,,,,
Keyence,20250703_chem3_34C_T01_1457,unknown,0,56,0.0,,,,,,
Keyence,20250703_chem3_35C_T00_1101,unknown,0,56,0.0,,,,,,
Keyence,20250703_chem3_35C_T01_1437,unknown,0,56,0.0,,,,,,
Keyence,20250716_chem4_28C_T00_1158,unknown,0,84,0.0,,,,,,
Keyence,20250716_chem4_28C_T01_1400,unknown,0,83,0.0,,,,,,
Keyence,20250716_chem4_34C_T00_1014,unknown,0,89,0.0,,,,,,
Keyence,20250716_chem4_35C_T00_1045,unknown,0,83,0.0,,,,,,
Keyence,20250721_chem5_28C_T00_1257,unknown,0,95,0.0,,,,,,
Keyence,20250721_chem5_28C_T01_1401,unknown,0,95,0.0,,,,,,
Keyence,20250721_chem5_35C_T00_1023,unknown,0,92,0.0,,,,,,
Keyence,20260319_cilia_crispant_18hpf,unknown,0,89,0.0,,,,,,
Keyence,20260319_cilia_crispant_24hpf,unknown,0,94,0.0,,,,,,
Keyence,20260319_cilia_crispant_30hpf,unknown,0,96,0.0,,,,,,
Keyence,20260320_cilia_crispant_48hpf,unknown,0,96,0.0,,,,,,
Keyence,20260324_cep290_18hpf_24hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260324_cep290_18hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260324_cep290_24hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260324_cep290_24hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260324_cep290_30hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260324_cep290_30hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260331_b9d2_18hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260331_b9d2_18hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260414_b9d2_14hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260414_b9d2_14hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260414_b9d2_30hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260414_b9d2_30hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260415_b9d2_30to48hpf_plate01_t02,unknown,0,96,0.0,,,,,,
Keyence,20260415_b9d2_30to48hpf_plate02_t02,unknown,0,96,0.0,,,,,,
Keyence,20260415_cep290_18hpf_plate03,unknown,0,96,0.0,,,,,,
