scope,corpus_dataset_id,pipeline_experiment_id,source_experiment_id,project_name,well_id,well_index,source_fov_id,source_embryo_id,gross_embryos,observed_unique_physical_embryos,peak_concurrent_embryos,n_timepoints,n_time_z_planes,gross_embryo_timepoints,gross_embryo_z_observations,observed_snip_timepoints,observed_valid_snip_timepoints,pipeline_snip_record_count,qc_evaluated_timepoints,confirmed_usable_timepoints,pipeline_qc_record_count,count_basis,embryo_count_basis,frame_inventory_present,plate_metadata_present,detected_or_registered,pipeline_materialized,genotype,chem_perturbation,dose,temperature,stage_hpf,perturbation,perturbation_key,perturbation_domain,has_seq_link,sequencing_pairing_status,collection_name,has_environmental_perturbation,has_chemical_perturbation,has_genetic_perturbation,perturbation_class,condition_signature,atomic_perturbations,classification_needs_review,classification_review_reason,effective_temperature_c,projected_usable_timepoints,projected_usable_z_observations,projection_basis
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A01,A01,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,dmso,,24.0,25.25,,,,,unknown,,True,False,False,environmental,T:24C,"[[""environmental"", ""24C""]]",False,,24,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A02,A02,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,hsp90,,24.0,25.25,,,,,unknown,,True,True,False,environmental+chemical,C:hsp90 | T:24C,"[[""chemical"", ""hsp90""], [""environmental"", ""24C""]]",False,,24,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A03,A03,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,mTor,,24.0,25.25,,,,,unknown,,True,True,False,environmental+chemical,C:mTor | T:24C,"[[""chemical"", ""mTor""], [""environmental"", ""24C""]]",False,,24,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A04,A04,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,dmso,,28.0,25.25,,,,,unknown,,False,False,False,control,control,[],False,,28,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A05,A05,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,dmso,,28.0,25.25,,,,,unknown,,False,False,False,control,control,[],False,,28,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A06,A06,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,hsp90,,28.0,25.25,,,,,unknown,,False,True,False,chemical,C:hsp90,"[[""chemical"", ""hsp90""]]",False,,28,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A07,A07,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,mTor,,28.0,25.25,,,,,unknown,,False,True,False,chemical,C:mTor,"[[""chemical"", ""mTor""]]",False,,28,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A08,A08,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,mTor,,28.0,25.25,,,,,unknown,,False,True,False,chemical,C:mTor,"[[""chemical"", ""mTor""]]",False,,28,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A09,A09,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,dmso,,32.0,25.25,,,,,unknown,,True,False,False,environmental,T:32C,"[[""environmental"", ""32C""]]",False,,32,1.0,14.0,scope-specific retention
Keyence,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,20260702_hotchem_24hpf_plate01,Chemical perturbation,20260702_hotchem_24hpf_plate01_A10,A10,,,1.0,1,1,1,14,1.0,14.0,1,1,1,1,1,1,exact_frame_inventory,"max(metadata_embryos_per_well, observed_peak_concurrent_embryos)",True,True,True,True,ab,hsp90,,32.0,24.71,,,,,unknown,,True,True,False,environmental+chemical,C:hsp90 | T:32C,"[[""chemical"", ""hsp90""], [""environmental"", ""32C""]]",False,,32,1.0,14.0,scope-specific retention
