experiment_id,snip_id,well_id,time_index,processed_snip_path,background_metric_region,background_mean,background_median,background_sd,background_nonzero_fraction,image_mean,image_median,image_sd,image_min,image_max
20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_A01_e01_BF_t0000,20250612_24hpf_ctrl_atf6_A01,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_A01/snips/20250612_24hpf_ctrl_atf6_A01_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_ctrl_atf6_A01_e01_BF_t0000.png,outside_embryo_mask,9.789757948642375,10.0,3.4465879007932196,0.9991084257451277,18.12563747829861,10.0,32.978725209762516,0,245
20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_C01_e01_BF_t0000,20250612_24hpf_ctrl_atf6_C01,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_C01/snips/20250612_24hpf_ctrl_atf6_C01_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_ctrl_atf6_C01_e01_BF_t0000.png,outside_embryo_mask,9.830493399841389,10.0,3.489356575719795,0.9991105906419312,18.745707194010418,10.0,34.32126934181619,0,250
20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_E01_e01_BF_t0000,20250612_24hpf_ctrl_atf6_E01,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_E01/snips/20250612_24hpf_ctrl_atf6_E01_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_ctrl_atf6_E01_e01_BF_t0000.png,outside_embryo_mask,9.885181067225824,10.0,3.7986069299630776,0.9991194752669557,19.67131890190972,10.0,36.699549514347865,0,252
20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_F12_e01_BF_t0000,20250612_24hpf_ctrl_atf6_F12,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_F12/snips/20250612_24hpf_ctrl_atf6_F12_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_ctrl_atf6_F12_e01_BF_t0000.png,outside_embryo_mask,9.921587861138784,10.0,3.6114888148580753,0.9991646869491915,22.73971218532986,10.0,41.32869463852931,0,251
20250612_24hpf_ctrl_atf6,20250612_24hpf_ctrl_atf6_H12_e01_BF_t0000,20250612_24hpf_ctrl_atf6_H12,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_H12/snips/20250612_24hpf_ctrl_atf6_H12_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_ctrl_atf6_H12_e01_BF_t0000.png,outside_embryo_mask,10.05704593308898,10.0,3.848207484301275,0.9992045543164626,24.378004286024307,10.0,44.076982867422736,0,253
20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_A01_e01_BF_t0000,20250612_24hpf_wfs1_ctcf_A01,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_wfs1_ctcf/snips/per_well/20250612_24hpf_wfs1_ctcf_A01/snips/20250612_24hpf_wfs1_ctcf_A01_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_wfs1_ctcf_A01_e01_BF_t0000.png,outside_embryo_mask,11.551770782095426,10.0,12.171098274312731,0.999139203148057,19.791605631510418,10.0,37.26115426841138,0,249
20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_B12_e01_BF_t0000,20250612_24hpf_wfs1_ctcf_B12,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_wfs1_ctcf/snips/per_well/20250612_24hpf_wfs1_ctcf_B12/snips/20250612_24hpf_wfs1_ctcf_B12_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_wfs1_ctcf_B12_e01_BF_t0000.png,outside_embryo_mask,12.836499571930446,10.0,17.672225051420867,0.9991881439494583,21.971048990885418,10.0,39.31273731795652,0,246
20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_D12_e01_BF_t0000,20250612_24hpf_wfs1_ctcf_D12,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_wfs1_ctcf/snips/per_well/20250612_24hpf_wfs1_ctcf_D12/snips/20250612_24hpf_wfs1_ctcf_D12_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_wfs1_ctcf_D12_e01_BF_t0000.png,outside_embryo_mask,12.502382379163683,10.0,17.72093566514444,0.9991815139069556,21.645975748697918,10.0,40.00748186049419,0,248
20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_F12_e01_BF_t0000,20250612_24hpf_wfs1_ctcf_F12,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_wfs1_ctcf/snips/per_well/20250612_24hpf_wfs1_ctcf_F12/snips/20250612_24hpf_wfs1_ctcf_F12_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_wfs1_ctcf_F12_e01_BF_t0000.png,outside_embryo_mask,13.67987561552246,10.0,19.619050700463248,0.9992621259806949,24.904703776041668,10.0,43.67302728564731,0,252
20250612_24hpf_wfs1_ctcf,20250612_24hpf_wfs1_ctcf_H12_e01_BF_t0000,20250612_24hpf_wfs1_ctcf_H12,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_wfs1_ctcf/snips/per_well/20250612_24hpf_wfs1_ctcf_H12/snips/20250612_24hpf_wfs1_ctcf_H12_e01/BF__projection__focus_stack__clahe_blend/20250612_24hpf_wfs1_ctcf_H12_e01_BF_t0000.png,outside_embryo_mask,13.740516949471386,10.0,21.047377304526954,0.9992475262425223,24.15042453342014,10.0,41.633350159406696,0,252
20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_A01_e01_BF_t0000,20250612_30hpf_ctrl_atf6_A01,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_30hpf_ctrl_atf6/snips/per_well/20250612_30hpf_ctrl_atf6_A01/snips/20250612_30hpf_ctrl_atf6_A01_e01/BF__projection__focus_stack__clahe_blend/20250612_30hpf_ctrl_atf6_A01_e01_BF_t0000.png,outside_embryo_mask,11.843320099037461,10.0,14.139657361194166,0.9991649208139824,21.022013346354168,10.0,39.15984870988598,0,254
20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_C02_e01_BF_t0000,20250612_30hpf_ctrl_atf6_C02,0,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_30hpf_ctrl_atf6/snips/per_well/20250612_30hpf_ctrl_atf6_C02/snips/20250612_30hpf_ctrl_atf6_C02_e01/BF__projection__focus_stack__clahe_blend/20250612_30hpf_ctrl_atf6_C02_e01_BF_t0000.png,outside_embryo_mask,12.349536866596964,10.0,16.26049975318718,0.9991753427481703,21.40932888454861,10.0,38.79518252806623,0,249
