experiment_id,n_samples,median_background_intensity,mean_background_intensity,mean_background_sd,mean_background_nonzero_fraction
20250612_24hpf_ctrl_atf6,5,10.0,9.89681324198747,3.638849541127088,0.9991415465839337
20250612_24hpf_wfs1_ctcf,5,10.0,12.86220905963668,17.646137399173647,0.9992037026455376
20250612_30hpf_ctrl_atf6,5,10.0,12.550499152868754,15.339803882079668,0.9991852965147849
20250612_30hpf_wfs1_ctcf,5,10.0,13.331592564087092,18.47285911614235,0.9992142647851757
20250612_36hpf_ctrl_atf6,5,10.0,14.321654313180357,20.848328102307413,0.9992514196732278
20250612_36hpf_wfs1_ctcf,5,10.0,14.045999244261083,19.703558888690658,0.9992402539686773
20240626,5,11.0,17.05014603841688,24.974998469100292,0.9993334507193781
20240812,5,10.0,13.3554418431465,18.207213867911328,0.9992410289299558
20250215,5,10.0,13.362919546113906,17.953126803347224,0.9992354640605534
20240813_24hpf,5,10.0,13.274354014005985,17.35957035377478,0.9991992691279032
20240813_30hpf,5,10.0,13.669734461233393,18.67877746464352,0.9992144349241899
20240813_36hpf,5,10.0,14.739650000041019,22.280671445602763,0.9992124285612493
