image_id,embryo_id,snip_id,frame_index,area_px,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,mask_confidence,exported_mask_path,experiment_id,video_id,is_seed_frame,Height (um),Height (px),Width (um),Width (px),BF Channel,Objective,Time (s),Time Rel (s),height_um,height_px,width_um,width_px,bf_channel,objective,raw_time_s,relative_time_s,microscope,nd2_series_num,medium,genotype,chem_perturbation,start_age_hpf,embryos_per_well,temperature,well_qc_flag
20250612_30hpf_ctrl_atf6_E06_ch00_t0000,20250612_30hpf_ctrl_atf6_E06_e01,20250612_30hpf_ctrl_atf6_E06_e01_s0000,0,251845.0,0.19305555555555556,0.23801169590643276,0.6361111111111111,0.5,0.85,20250612_30hpf_ctrl_atf6_E06_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_E06,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836493.0446,966.3350830078124,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836493.0446,966.3350830078124,,,,,,,,,
20250612_30hpf_ctrl_atf6_C12_ch00_t0000,20250612_30hpf_ctrl_atf6_C12_e01,20250612_30hpf_ctrl_atf6_C12_e01_s0000,0,145596.0,0.30694444444444446,0.37456140350877193,0.5597222222222222,0.5780701754385965,0.85,20250612_30hpf_ctrl_atf6_C12_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_C12,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836820.789,638.5906982421875,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836820.789,638.5906982421875,,,,,,,,,
20250612_30hpf_ctrl_atf6_F04_ch00_t0000,20250612_30hpf_ctrl_atf6_F04_e01,20250612_30hpf_ctrl_atf6_F04_e01_s0000,0,267180.0,0.2951388888888889,0.19736842105263158,0.7861111111111111,0.5318713450292397,0.85,20250612_30hpf_ctrl_atf6_F04_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_F04,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836219.323,1240.056640625,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836219.323,1240.056640625,,,,,,,,,
20250612_30hpf_ctrl_atf6_C04_ch00_t0000,20250612_30hpf_ctrl_atf6_C04_e01,20250612_30hpf_ctrl_atf6_C04_e01_s0000,0,255214.0,0.4666666666666667,0.43742690058479533,0.7159722222222222,0.8327485380116959,0.85,20250612_30hpf_ctrl_atf6_C04_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_C04,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836966.8992,492.48046875,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836966.8992,492.48046875,,,,,,,,,
20250612_30hpf_ctrl_atf6_D07_ch00_t0000,20250612_30hpf_ctrl_atf6_D07_e01,20250612_30hpf_ctrl_atf6_D07_e01_s0000,0,159606.0,0.4305555555555556,0.6429824561403509,0.8368055555555556,0.7839181286549708,0.85,20250612_30hpf_ctrl_atf6_D07_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_D07,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836711.4587,747.9208984375,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836711.4587,747.9208984375,,,,,,,,,
20250612_30hpf_ctrl_atf6_H11_ch00_t0000,20250612_30hpf_ctrl_atf6_H11_e01,20250612_30hpf_ctrl_atf6_H11_e01_s0000,0,230544.0,0.35347222222222224,0.5029239766081871,0.7416666666666667,0.7470760233918129,0.85,20250612_30hpf_ctrl_atf6_H11_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_H11,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451835909.1726,1550.20703125,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451835909.1726,1550.20703125,,,,,,,,,
20250612_30hpf_ctrl_atf6_A07_ch00_t0000,20250612_30hpf_ctrl_atf6_A07_e01,20250612_30hpf_ctrl_atf6_A07_e01_s0000,0,157453.0,0.3909722222222222,0.21052631578947367,0.7972222222222223,0.37485380116959066,0.85,20250612_30hpf_ctrl_atf6_A07_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_A07,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451837350.5895,108.7901611328125,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451837350.5895,108.7901611328125,,,,,,,,,
20250612_30hpf_ctrl_atf6_A08_ch00_t0000,20250612_30hpf_ctrl_atf6_A08_e01,20250612_30hpf_ctrl_atf6_A08_e01_s0000,0,153825.0,0.4361111111111111,0.2347953216374269,0.7090277777777778,0.3774853801169591,0.85,20250612_30hpf_ctrl_atf6_A08_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_A08,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451837332.4493,126.9302978515625,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451837332.4493,126.9302978515625,,,,,,,,,
20250612_30hpf_ctrl_atf6_G01_ch00_t0000,20250612_30hpf_ctrl_atf6_G01_e01,20250612_30hpf_ctrl_atf6_G01_e01_s0000,0,152902.0,0.22777777777777777,0.46578947368421053,0.6354166666666666,0.5842105263157895,0.85,20250612_30hpf_ctrl_atf6_G01_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_G01,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836146.1827,1313.1968994140625,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836146.1827,1313.1968994140625,,,,,,,,,
20250612_30hpf_ctrl_atf6_D05_ch00_t0000,20250612_30hpf_ctrl_atf6_D05_e01,20250612_30hpf_ctrl_atf6_D05_e01_s0000,0,198165.0,0.3902777777777778,0.1654970760233918,0.6715277777777777,0.4824561403508772,0.85,20250612_30hpf_ctrl_atf6_D05_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_D05,True,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836675.1587,784.220947265625,2717.581,1440,3623.441,1920,BrightField,PlanApo 4x 0.20/20.00mm :Default,-858451836675.1587,784.220947265625,,,,,,,,,
