experiment_id,inventory_snips,matched_qc_rows,inventory_snips_without_qc,combined_metric_gate_survivors,combined_gate_qc_status
20230531,7846,7846,0,4044,evaluated
20230602,8998,8998,0,3447,evaluated
20230613,5421,5421,0,3611,evaluated
20230615,4216,4216,0,2767,evaluated
20230620,5460,5460,0,3001,evaluated
20230622,3582,3582,0,1906,evaluated
20230627,4193,4193,0,2831,evaluated
20230629,3918,3918,0,1125,evaluated
20230831,65,0,65,0,unresolved_no_qc_artifact
20231110,5852,0,5852,0,unresolved_no_qc_artifact
20231206,7587,0,7587,0,unresolved_no_qc_artifact
20231218,3536,0,3536,0,unresolved_no_qc_artifact
20240306,10837,0,10837,0,unresolved_no_qc_artifact
20240307,4972,0,4972,0,unresolved_no_qc_artifact
20240404,3222,0,3222,0,unresolved_no_qc_artifact
20240411,4464,0,4464,0,unresolved_no_qc_artifact
20240418,9062,0,9062,0,unresolved_no_qc_artifact
20240509,4387,0,4387,0,unresolved_no_qc_artifact
20240509_18ss,25,25,0,24,evaluated
20240509_24hpf,32,32,0,29,evaluated
20240510,59,59,0,0,evaluated
20240522,9284,0,9284,0,unresolved_no_qc_artifact
20240530,10692,0,10692,0,unresolved_no_qc_artifact
20240626,11088,0,11088,0,unresolved_no_qc_artifact
20240717,68,68,0,56,evaluated
20240718,99,99,0,61,evaluated
20240724,56,56,0,56,evaluated
20240725,64,64,0,53,evaluated
20240726,60,60,0,49,evaluated
20240812,7575,0,7575,0,unresolved_no_qc_artifact
20240813_24hpf,48,48,0,47,evaluated
20240813_30hpf,50,50,0,38,evaluated
20240813_36hpf,50,50,0,38,evaluated
20241022,3737,0,3737,0,unresolved_no_qc_artifact
20241023,4687,0,4687,0,unresolved_no_qc_artifact
20250126,7745,0,7745,0,unresolved_no_qc_artifact
20250215,7644,0,7644,0,unresolved_no_qc_artifact
20250305,32962,0,32962,0,unresolved_no_qc_artifact
20250415,4267,0,4267,0,unresolved_no_qc_artifact
20250425,13429,0,13429,0,unresolved_no_qc_artifact
20250501,24718,24718,0,2319,evaluated
20250512,24569,24569,0,7108,evaluated
20250515_part2,3510,3510,0,1351,evaluated
20250519,4179,4179,0,2549,evaluated
20250612_24hpf_ctrl_atf6,97,97,0,93,evaluated
20250612_24hpf_wfs1_ctcf,96,96,0,88,evaluated
20250612_30hpf_ctrl_atf6,97,97,0,72,evaluated
20250612_30hpf_wfs1_ctcf,97,97,0,74,evaluated
20250612_36hpf_ctrl_atf6,102,102,0,81,evaluated
20250612_36hpf_wfs1_ctcf,97,97,0,72,evaluated
20250622_chem_28C_T00_1425,91,91,0,76,evaluated
20250622_chem_28C_T01_1658,86,86,0,72,evaluated
20250622_chem_34C_T00_1256,78,78,0,73,evaluated
20250622_chem_34C_T01_1632,79,79,0,69,evaluated
20250622_chem_35C_T00_1223_check,79,0,79,0,unresolved_no_qc_artifact
20250622_chem_35C_T01_1605,85,0,85,0,unresolved_no_qc_artifact
20250623_chem_28C_T02_1259,86,0,86,0,unresolved_no_qc_artifact
20250623_chem_34C_T02_1231,83,0,83,0,unresolved_no_qc_artifact
20250624_chem02_28C_T00_1356,104,104,0,57,evaluated
20250624_chem02_28C_T01_1808,97,97,0,45,evaluated
20250624_chem02_34C_T00_1243,78,78,0,38,evaluated
20250624_chem02_34C_T01_1739,75,75,0,22,evaluated
20250624_chem02_35C_T00_1216,81,81,0,49,evaluated
20250624_chem02_35C_T01_1711,84,84,0,29,evaluated
20250625_chem02_28C_T02_1332,96,96,0,46,evaluated
20250625_chem02_34C_T02_1301,82,82,0,23,evaluated
20250625_chem02_35C_T02_1228,84,84,0,14,evaluated
20250703_chem3_28C_T00_1325,61,61,0,0,evaluated
20250703_chem3_34C_T00_1131,58,58,0,0,evaluated
20250703_chem3_34C_T01_1457,59,59,0,0,evaluated
20250703_chem3_35C_T00_1101,65,65,0,0,evaluated
20250703_chem3_35C_T01_1437,58,58,0,0,evaluated
20250711,19723,19723,0,10419,evaluated
20250716_chem4_28C_T00_1158,87,87,0,75,evaluated
20250716_chem4_28C_T01_1400,94,94,0,67,evaluated
20250716_chem4_34C_T00_1014,94,94,0,85,evaluated
20250716_chem4_35C_T00_1045,91,91,0,76,evaluated
20250721_chem5_28C_T00_1257,107,107,0,92,evaluated
20250721_chem5_28C_T01_1401,107,107,0,93,evaluated
20250721_chem5_35C_T00_1023,108,108,0,89,evaluated
20250912,15572,15572,0,2778,evaluated
20251017_part1,6794,6794,0,3903,evaluated
20251017_part2,7559,7559,0,2298,evaluated
20251020,5216,5216,0,1124,evaluated
20251112,6991,6991,0,3418,evaluated
20251119,10440,10440,0,3477,evaluated
20251121,20857,20857,0,7022,evaluated
20251125,21934,21934,0,8231,evaluated
20251205,12291,12291,0,6035,evaluated
20251207_pbx,14760,14760,0,7240,evaluated
20251212,11437,11437,0,4644,evaluated
20260122,20098,20098,0,9257,evaluated
20260202,16943,16943,0,6148,evaluated
20260206,14700,14700,0,11721,evaluated
20260208,31680,31680,0,6374,evaluated
20260210,15892,15892,0,9000,evaluated
20260213,29010,29010,0,2820,evaluated
20260219,31713,31713,0,7023,evaluated
20260228,17012,17012,0,8683,evaluated
20260304,37409,37409,0,6128,evaluated
20260306,26979,26979,0,6377,evaluated
20260319,10269,10269,0,2587,evaluated
20260319_cilia_crispant_18hpf,92,92,0,55,evaluated
20260319_cilia_crispant_24hpf,99,99,0,50,evaluated
20260319_cilia_crispant_30hpf,102,102,0,54,evaluated
20260324_cep290_24hpf_plate01,101,101,0,91,evaluated
20260324_cep290_24hpf_plate02,101,101,0,55,evaluated
20260324_cep290_30hpf_plate01,98,98,0,91,evaluated
20260324_cep290_30hpf_plate02,72,72,0,55,evaluated
20260331_b9d2_18hpf_plate02,70,70,0,45,evaluated
20260414_b9d2_14hpf_plate01,107,107,0,97,evaluated
20260414_b9d2_30hpf_plate01,106,106,0,93,evaluated
20260414_b9d2_30hpf_plate02,72,72,0,54,evaluated
20260415_b9d2_30to48hpf_plate01_t02,109,109,0,91,evaluated
20260415_b9d2_30to48hpf_plate02_t02,58,58,0,37,evaluated
20260415_cep290_18hpf_plate03,81,81,0,28,evaluated
20260415_cep290_30to48hpf_plate02_t01,93,93,0,42,evaluated
20260416_cep290_30to48hpf_plate01_t02,109,109,0,89,evaluated
20260416_cep290_30to48hpf_plate02_t02,70,70,0,41,evaluated
20260417_irx_pilot,4968,4968,0,0,evaluated
20260418_irx_pilot,15251,15251,0,0,evaluated
20260702_hotchem_24hpf_plate01,104,104,0,89,evaluated
20260702_hotchem_24hpf_plate02,117,117,0,94,evaluated
20260702_hotchem_30hpf_plate01,124,124,0,79,evaluated
20260702_hotchem_30hpf_plate02,107,107,0,78,evaluated
20260702_hotchem_36hpf_plate01,101,101,0,84,evaluated
20260702_hotchem_36hpf_plate02,99,99,0,87,evaluated
20260724_hotfish_24hpf_plate01,102,102,0,0,evaluated
20260724_hotfish_24hpf_plate02,56,0,56,0,unresolved_no_qc_artifact
20260724_hotfish_30hpf_plate01,98,98,0,0,evaluated
20260724_hotfish_30hpf_plate02,59,0,59,0,unresolved_no_qc_artifact
20260724_hotfish_36hpf_plate01,101,101,0,0,evaluated
20260724_hotfish_36hpf_plate02,61,0,61,0,unresolved_no_qc_artifact
