candidate,candidate_value,train_embryos,eval_embryos,test_embryos,legal_positive_pairs_all_splits
genotype,H2B-mScarlet,47,6,9,True
genotype,Uncertain,12,5,2,True
genotype,ab,3427,436,423,True
genotype,ab-ctrl-inj,31,3,2,True
genotype,ab-lmx1b,24,3,5,True
genotype,ab/tbxta,34,2,4,True
genotype,ab_inj_ctrl,31,3,1,False
genotype,atf6,122,14,15,True
genotype,b9d2_het,162,25,16,True
genotype,b9d2_heterozygous,181,25,20,True
genotype,b9d2_homo,73,12,9,True
genotype,b9d2_homozygous,89,12,12,True
genotype,b9d2_unknown,161,20,17,True
genotype,b9d2_wildtype,111,7,15,True
genotype,b9d2_wt,55,7,10,True
genotype,cep290_crispant,109,17,9,True
genotype,cep290_het,233,28,40,True
genotype,cep290_heterozygous,353,36,45,True
genotype,cep290_homo,87,11,21,True
genotype,cep290_homozygous,208,31,32,True
genotype,cep290_homozyous,35,3,3,True
genotype,cep290_unknown,313,40,48,True
genotype,cep290_unkown,157,13,12,True
genotype,cep290_wildtype,205,26,16,True
genotype,cep290_wt,122,16,9,True
genotype,crispr-inj-ctrl,12,0,0,False
genotype,crispr-pbx1,25,7,0,False
genotype,crispr-pbx1+4,31,4,2,True
genotype,crispr-pbx4,28,6,3,True
genotype,ctcf,115,19,12,True
genotype,ctrl-inj,40,7,5,True
genotype,foxj1a_crispant,61,8,11,True
genotype,gdf3,213,31,30,True
genotype,if88_ift74_crispant,30,4,4,True
genotype,ift88_crispant,59,3,12,True
genotype,inj-ctrl,170,18,23,True
genotype,irx3a_crispant,24,6,4,True
genotype,irx3a_irx5a_crispant,51,8,5,True
genotype,irx3a_irx5a_irx6a_crispant,46,7,5,True
genotype,irx3a_irx6a_crispant,49,8,8,True
genotype,irx5a_crispant,31,2,1,False
genotype,irx5a_irx6a_crispant,50,8,5,True
genotype,irx6a_crispant,27,2,4,True
genotype,lmx1b,240,28,33,True
genotype,meox1,20,2,3,True
genotype,meox1:sox1,22,3,1,False
genotype,meox1:tbx5a,23,1,2,False
genotype,nfatc1,7,0,1,False
genotype,nfatc:gata2a,7,0,1,False
genotype,noto,69,4,3,True
genotype,pbx1b_crispant,66,4,3,True
genotype,pbx1b_pbx4_crispant,82,12,15,True
genotype,pbx4_crispant,59,9,9,True
genotype,scospondin_crispant,75,5,8,True
genotype,smad5,19,3,2,True
genotype,smyda:smydb,20,2,3,True
genotype,sox10,21,2,4,True
genotype,sox10:tbx5a,19,2,5,True
genotype,sspo_crispant,29,5,2,True
genotype,tbx16,41,2,3,True
genotype,tbx2b,15,2,1,False
genotype,tbx2b:tbx2a,12,1,3,False
genotype,tbx5a,22,2,1,False
genotype,tbx5a-SG,37,2,6,True
genotype,tbx6,18,4,3,True
genotype,tbxta,53,6,7,True
genotype,tbxta/ab,29,0,3,False
genotype,tfap2a_cispant,17,0,4,False
genotype,tfap2a_crispant,9,1,0,False
genotype,tfap2a_tfap2b_cispant,10,1,1,False
genotype,tfap2a_tfap2b_crispant,10,1,1,False
genotype,tfap2a_tfap2c_crispant,31,8,5,True
genotype,tfap2a_tfap2d_crispant,14,4,6,True
genotype,tfap2a_tfap2e_crispant,37,2,1,False
genotype,tfap2b_crispant,12,1,0,False
genotype,tfap2b_tfap2c_crispant,22,2,2,True
genotype,tfap2b_tfap2d_crispant,33,6,2,True
genotype,tfap2c_crispant,11,1,1,False
genotype,tfap2d_crispant,6,0,2,False
genotype,tfap2e_crispant,7,2,3,True
genotype,tmem67_heterozygote,33,2,3,True
genotype,tmem67_heterozygous,58,6,7,True
genotype,tmem67_homozygous,73,9,8,True
genotype,tmem67_unknown,4,0,0,False
genotype,tmem67_wildtype,100,20,8,True
genotype,uncertain,23,2,6,True
genotype,wfs1a-wfs1b,119,15,10,True
genotype,wik,764,108,108,True
genotype,wik-ab,152,15,18,True
genotype,wik-ab_inj_ctrl,35,3,4,True
genotype,wik-inj-ctrl,33,4,3,True
genotype,wt-tbx16,17,5,3,True
genotype,wt-tbxta,19,3,0,False
strain,ab,2920,372,364,True
strain,b9d2_het,360,54,41,True
strain,cep290_het,465,57,76,True
chem_perturbation,DMSO,22,5,7,True
chem_perturbation,DMSO_6,241,34,37,True
chem_perturbation,Fgf_025,19,2,3,True
chem_perturbation,Fgf_050,16,3,3,True
chem_perturbation,Fgf_075,26,3,3,True
chem_perturbation,Fgf_100,45,2,5,True
chem_perturbation,Fgf_150,23,3,5,True
chem_perturbation,Shh_025,2,1,2,False
chem_perturbation,Shh_050,10,1,1,False
chem_perturbation,Shh_075,7,3,1,False
chem_perturbation,Shh_100,7,0,2,False
chem_perturbation,TGFB-i,50,6,6,True
chem_perturbation,Wnt-i,69,10,9,True
chem_perturbation,bmp_i_11,22,2,2,True
chem_perturbation,bmp_i_12,17,3,5,True
chem_perturbation,bmp_i_13,204,28,26,True
chem_perturbation,bmp_i_13_13,7,2,0,False
chem_perturbation,bmp_i_14,23,4,4,True
chem_perturbation,dmso,173,19,19,True
chem_perturbation,ethanol_ctrl,11,0,1,False
chem_perturbation,fgf_i_13,120,15,15,True
chem_perturbation,hsp90,181,13,22,True
chem_perturbation,hsp90_i_6,184,14,22,True
chem_perturbation,mTOR_i_6,179,20,19,True
chem_perturbation,mTor,181,24,20,True
chem_perturbation,nfkb_i_6,72,8,9,True
chem_perturbation,notch-i,38,7,9,True
chem_perturbation,notch_i_6,83,10,14,True
chem_perturbation,pi3k_hi_i_6,34,3,6,True
chem_perturbation,pi3k_i_6,7,3,1,False
chem_perturbation,pi3k_lo_i_6,35,5,4,True
chem_perturbation,ra_hi_i_6,34,6,4,True
chem_perturbation,ra_i_6,75,7,7,True
chem_perturbation,ra_lo_i_6,34,4,5,True
chem_perturbation,shh_i_13,44,7,11,True
chem_perturbation,shh_i_24,43,3,6,True
chem_perturbation,shh_i_6,117,12,17,True
chem_perturbation,sphase_i_13,30,3,4,True
chem_perturbation,tgfb_hi_i_6,34,4,5,True
chem_perturbation,tgfb_i_13,83,13,11,True
chem_perturbation,tgfb_lo_i_6,33,5,2,True
chem_perturbation,tri_0,10,1,3,False
chem_perturbation,tri_1-15,9,2,2,True
chem_perturbation,tri_1-20,20,0,2,False
chem_perturbation,tri_1-25,16,3,3,True
chem_perturbation,tri_1-30,18,1,3,False
chem_perturbation,tri_1-35,22,2,0,False
chem_perturbation,tri_1-40,20,0,1,False
chem_perturbation,wnt_i_11,20,5,1,False
chem_perturbation,wnt_i_12,19,3,3,True
chem_perturbation,wnt_i_13,207,31,20,True
chem_perturbation,wnt_i_13_13,7,2,0,False
chem_perturbation,wnt_i_14,20,1,3,False
genotype_map_orig,tbxta,40,6,7,True
genotype_map_orig,tbxta/wik,27,3,1,False
genotype_map_orig,wik,16,1,3,False
orig_genotype,Uncertain,10,4,1,False
orig_genotype,tbx16,41,2,3,True
orig_genotype,wik,10,1,1,False
orig_genotype,wik/tbx16,17,5,3,True
genotype__strain,ab_ab,2015,254,256,True
genotype__strain,atf6_ab,122,14,15,True
genotype__strain,b9d2_het_b9d2_het,162,25,16,True
genotype__strain,b9d2_homo_b9d2_het,73,12,9,True
genotype__strain,b9d2_unknown_b9d2_het,70,10,6,True
genotype__strain,b9d2_wt_b9d2_het,55,7,10,True
genotype__strain,cep290_het_cep290_het,233,28,40,True
genotype__strain,cep290_homo_cep290_het,87,11,21,True
genotype__strain,cep290_wt_cep290_het,122,16,9,True
genotype__strain,ctcf_ab,115,19,12,True
genotype__strain,foxj1a_crispant_ab,30,3,5,True
genotype__strain,ift88_crispant_ab,29,1,7,False
genotype__strain,inj-ctrl_ab,170,18,23,True
genotype__strain,irx3a_crispant_ab,24,6,4,True
genotype__strain,irx3a_irx5a_crispant_ab,51,8,5,True
genotype__strain,irx3a_irx5a_irx6a_crispant_ab,46,7,5,True
genotype__strain,irx3a_irx6a_crispant_ab,49,8,8,True
genotype__strain,irx5a_crispant_ab,31,2,1,False
genotype__strain,irx5a_irx6a_crispant_ab,50,8,5,True
genotype__strain,irx6a_crispant_ab,27,2,4,True
genotype__strain,sspo_crispant_ab,29,5,2,True
genotype__strain,uncertain_cep290_het,23,2,6,True
genotype__strain,wfs1a-wfs1b_ab,119,15,10,True
